,Open,High,Low,Close,Volume,VOX_unscaled,VOX_monthly,isPartial,scale,VOX,VOX stock_unscaled,VOX stock_monthly,isPartial,scale,VOX stock,VOX price_unscaled,VOX price_monthly,isPartial,scale,VOX price,VOX vanguard_unscaled,VOX vanguard_monthly,isPartial,scale,VOX vanguard,Dow Jones_unscaled,Dow Jones_monthly,isPartial,scale,Dow Jones,Trump_unscaled,Trump_monthly,isPartial,scale,Trump
3/1/10,52.81000137,53.15999985,52.81000137,53.09000015,12700,63,53,FALSE,0.53,33.39,0,41,FALSE,0.41,0,0,43,FALSE,0.43,0,0,0,FALSE,0,0,66,11,FALSE,0.11,7.26,42,1,FALSE,0.01,0.42
3/2/10,53.27999878,53.41999817,53.13999939,53.34999847,18000,73,53,,0.53,38.69,0,41,,0.41,0,65,43,,0.43,27.95,0,0,,0,0,82,11,,0.11,9.02,38,1,,0.01,0.38
3/3/10,53.52999878,53.63999939,53.25,53.36999893,15000,68,53,,0.53,36.04,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,77,11,,0.11,8.47,41,1,,0.01,0.41
3/4/10,53.49000168,53.56000137,53.22999954,53.52999878,23100,76,53,,0.53,40.28,64,41,,0.41,26.24,0,43,,0.43,0,0,0,,0,0,70,11,,0.11,7.7,46,1,,0.01,0.46
3/5/10,53.88999939,53.88999939,53.43000031,53.77000046,20600,78,53,,0.53,41.34,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,64,11,,0.11,7.04,48,1,,0.01,0.48
3/8/10,53.79999924,54.34000015,53.77999878,54.18000031,15400,69,53,,0.53,36.57,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,77,11,,0.11,8.47,43,1,,0.01,0.43
3/9/10,54.04999924,55.04999924,54.04999924,54.79999924,69200,83,53,,0.53,43.99,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,82,11,,0.11,9.02,43,1,,0.01,0.43
3/10/10,54.79000092,55.20999908,54.59000015,54.83000183,11900,86,53,,0.53,45.58,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,74,11,,0.11,8.14,39,1,,0.01,0.39
3/11/10,54.70000076,55.16999817,54.70000076,55.15999985,16000,74,53,,0.53,39.22,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,68,11,,0.11,7.48,49,1,,0.01,0.49
3/12/10,55.29999924,55.29999924,54.88999939,54.95999908,10800,88,53,,0.53,46.64,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,66,11,,0.11,7.26,58,1,,0.01,0.58
3/15/10,55.06999969,55.09999847,54.81000137,55.06000137,17800,100,53,,0.53,53,0,41,,0.41,0,66,43,,0.43,28.38,0,0,,0,0,77,11,,0.11,8.47,100,1,,0.01,1
3/16/10,55.06999969,55.36000061,54.50999832,55.34999847,35900,73,53,,0.53,38.69,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,79,11,,0.11,8.69,66,1,,0.01,0.66
3/17/10,55.31999969,55.86999893,55.31999969,55.74000168,20800,79,53,,0.53,41.87,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,84,11,,0.11,9.24,46,1,,0.01,0.46
3/18/10,55.81000137,56.06000137,55.77000046,55.97000122,21800,69,53,,0.53,36.57,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,81,11,,0.11,8.91,41,1,,0.01,0.41
3/19/10,55.75999832,56.20000076,55.68000031,55.75999832,12100,84,53,,0.53,44.52,0,41,,0.41,0,0,43,,0.43,0,100,0,,0,0,81,11,,0.11,8.91,63,1,,0.01,0.63
3/22/10,55.36000061,56.47000122,55.36000061,56.36000061,27200,90,53,,0.53,47.7,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,94,11,,0.11,10.34,75,1,,0.01,0.75
3/23/10,56.47000122,56.95999908,56.40999985,56.93999863,15700,69,53,,0.53,36.57,63,41,,0.41,25.83,0,43,,0.43,0,0,0,,0,0,100,11,,0.11,11,57,1,,0.01,0.57
3/24/10,56.93999863,56.93999863,56.36000061,56.38000107,21300,67,53,,0.53,35.51,64,41,,0.41,26.24,0,43,,0.43,0,0,0,,0,0,92,11,,0.11,10.12,39,1,,0.01,0.39
3/25/10,56.90000153,56.90000153,55.66999817,55.68999863,40200,67,53,,0.53,35.51,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,91,11,,0.11,10.01,45,1,,0.01,0.45
3/26/10,55.77999878,56,55.59999847,55.77000046,12600,64,53,,0.53,33.92,0,41,,0.41,0,69,43,,0.43,29.67,0,0,,0,0,83,11,,0.11,9.13,69,1,,0.01,0.69
3/29/10,56.09000015,56.25,56.02000046,56.13999939,6600,73,53,,0.53,38.69,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,80,11,,0.11,8.8,68,1,,0.01,0.68
3/30/10,56.36999893,56.59000015,56.25,56.38000107,11000,95,53,,0.53,50.35,0,41,,0.41,0,0,43,,0.43,0,0,0,,0,0,80,11,,0.11,8.8,51,1,,0.01,0.51
3/31/10,56.22000122,56.58000183,56.13000107,56.20999908,18700,76,53,,0.53,40.28,0,41,,0.41,0,67,43,,0.43,28.81,0,0,,0,0,77,11,,0.11,8.47,43,1,,0.01,0.43
5/3/10,56.86000061,57.27000046,56.75,57.16999817,10200,61,52,,0.52,31.72,0,22,,0.22,0,0,59,,0.59,0,0,63,,0.63,0,27,18,,0.18,4.86,100,1,,0.01,1
5/4/10,56.79000092,56.79000092,55.58000183,55.81000137,39100,66,52,,0.52,34.32,0,22,,0.22,0,0,59,,0.59,0,0,63,,0.63,0,30,18,,0.18,5.4,59,1,,0.01,0.59
5/5/10,55.74000168,55.93999863,55.40999985,55.63999939,52500,81,52,,0.52,42.12,0,22,,0.22,0,62,59,,0.59,36.58,100,63,,0.63,63,32,18,,0.18,5.76,40,1,,0.01,0.4
5/6/10,55.45999908,55.65000153,30,54.31000137,166600,55,52,,0.52,28.6,0,22,,0.22,0,0,59,,0.59,0,0,63,,0.63,0,100,18,,0.18,18,47,1,,0.01,0.47
5/7/10,53.77000046,54.27999878,52.52000046,53.18999863,69500,71,52,,0.52,36.92,0,22,,0.22,0,0,59,,0.59,0,0,63,,0.63,0,99,18,,0.18,17.82,37,1,,0.01,0.37
5/10/10,55.45999908,55.45999908,54.16999817,54.70000076,88700,54,52,,0.52,28.08,0,22,,0.22,0,0,59,,0.59,0,0,63,,0.63,0,50,18,,0.18,9,48,1,,0.01,0.48
5/11/10,54.06999969,55.38999939,54.06999969,54.84000015,44600,62,52,,0.52,32.24,0,22,,0.22,0,0,59,,0.59,0,0,63,,0.63,0,45,18,,0.18,8.1,52,1,,0.01,0.52
5/12/10,55.18000031,55.97999954,55.13000107,55.93000031,28200,62,52,,0.52,32.24,0,22,,0.22,0,61,59,,0.59,35.99,0,63,,0.63,0,36,18,,0.18,6.48,47,1,,0.01,0.47
5/13/10,55.95999908,56.47000122,55.93000031,56.06000137,36600,68,52,,0.52,35.36,0,22,,0.22,0,64,59,,0.59,37.76,0,63,,0.63,0,37,18,,0.18,6.66,51,1,,0.01,0.51
5/14/10,55.72000122,55.77000046,54.99000168,55.38000107,10100,64,52,,0.52,33.28,0,22,,0.22,0,0,59,,0.59,0,0,63,,0.63,0,33,18,,0.18,5.94,43,1,,0.01,0.43
5/17/10,55.58000183,55.91999817,54.93999863,55.88000107,18800,70,52,,0.52,36.4,0,22,,0.22,0,82,59,,0.59,48.38,0,63,,0.63,0,30,18,,0.18,5.4,71,1,,0.01,0.71
