,Open,High,Low,Close,Volume,recession,VOX price,VOX news
2013-04-03,74.91999816894531,74.9800033569336,74.08000183105469,74.25,29400,9.1,38.48,0.0
2013-04-04,74.27999877929688,74.87000274658203,74.27999877929688,74.8499984741211,22100,7.67,37.74,0.0
2013-04-05,75.08999633789062,75.36000061035156,74.11000061035156,75.22000122070312,46700,9.36,39.96,0.0
2013-04-08,75.38999938964844,75.93000030517578,75.16000366210938,75.87000274658203,70900,10.4,0.0,2.34
2013-04-09,76.0999984741211,76.37000274658203,75.75,76.19999694824219,25300,8.450000000000001,0.0,0.0
2013-04-10,76.62000274658203,77.36000061035156,76.33999633789062,77.22000122070312,40800,13.0,0.0,0.0
2013-04-11,77.12999725341797,77.88999938964844,77.12999725341797,77.66999816894531,25500,9.23,0.0,1.17
2013-04-12,77.83000183105469,78.66999816894531,77.41999816894531,78.66000366210938,894500,8.19,0.0,0.0
2013-04-15,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900,8.32,36.26,2.28
2013-04-16,77.87000274658203,78.22000122070312,77.62999725341797,77.9000015258789,54400,11.05,0.0,0.0
2013-04-17,77.75,77.75,76.70999908447266,76.83999633789062,124300,10.27,56.24,0.0
2013-04-18,77.69000244140625,78.12000274658203,77.5,77.62000274658203,16200,10.14,37.74,2.34
2013-04-19,77.87999725341797,78.77999877929688,77.86000061035156,78.75,26800,7.800000000000001,39.22,0.0
2013-04-22,79.43000030517578,79.43000030517578,78.2699966430664,79.13999938964844,177600,9.23,38.48,0.0
2013-04-23,79.8499984741211,79.8499984741211,79.0999984741211,79.81999969482422,49200,10.27,74.0,0.0
2013-04-24,79.5,79.5,77.86000061035156,78.37999725341797,146500,10.4,0.0,0.0
2013-04-25,78.9800033569336,79.98999786376953,78.9000015258789,79.77999877929688,87500,12.35,38.48,1.2
2013-04-26,79.7699966430664,79.7699966430664,79.20999908447266,79.5999984741211,14000,7.800000000000001,39.96,0.0
2013-04-29,79.94999694824219,79.94999694824219,79.66000366210938,79.93000030517578,424600,11.96,0.0,1.17
2013-04-30,80.05999755859375,80.4000015258789,79.9000015258789,80.2699966430664,37500,12.09,37.74,0.0
2013-05-01,80.43000030517578,80.47000122070312,79.05999755859375,79.16999816894531,99400,9.68,0.0,0.0
2013-05-02,79.30999755859375,79.76000213623047,79.08000183105469,79.55999755859375,45900,8.69,55.38,2.16
2013-05-03,80.55999755859375,80.72000122070312,79.70999908447266,79.83999633789062,44300,6.93,0.0,0.0
2013-05-06,80.38999938964844,80.38999938964844,79.44999694824219,79.5199966430664,129300,11.0,0.0,0.0
2013-05-07,79.75,80.41000366210938,79.70999908447266,80.37000274658203,39500,8.8,0.0,0.0
