,Open,High,Low,Close,Volume,Advertising,Alternative Carriers,Broadcasting,Cable,Interactive Media,Movies,Publishing
2013-04-15,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900,94.0,0.0,54.75,70.47,39.0,33.92,80.0
2013-04-16,77.87000274658203,78.22000122070312,77.62999725341797,77.9000015258789,54400,100.0,0.0,54.0,67.23,13.0,30.72,89.0
2013-04-17,77.75,77.75,76.70999908447266,76.83999633789062,124300,91.0,0.0,44.25,66.42,27.0,31.36,88.0
2013-04-18,77.69000244140625,78.12000274658203,77.5,77.62000274658203,16200,86.0,23.76,42.75,63.18000000000001,67.0,32.64,79.0
2013-04-19,77.87999725341797,78.77999877929688,77.86000061035156,78.75,26800,69.0,0.0,53.25,64.80000000000001,28.0,42.24,78.0
2013-04-22,79.43000030517578,79.43000030517578,78.2699966430664,79.13999938964844,177600,94.0,0.0,73.5,67.23,28.0,35.84,100.0
2013-04-23,79.8499984741211,79.8499984741211,79.0999984741211,79.81999969482422,49200,93.0,0.0,75.0,70.47,27.0,32.0,90.0
2013-04-24,79.5,79.5,77.86000061035156,78.37999725341797,146500,96.0,0.0,63.0,66.42,14.0,33.92,94.0
2013-04-25,78.9800033569336,79.98999786376953,78.9000015258789,79.77999877929688,87500,89.0,0.0,52.5,66.42,70.0,33.28,95.0
2013-04-26,79.7699966430664,79.7699966430664,79.20999908447266,79.5999984741211,14000,75.0,0.0,44.25,63.99,100.0,40.96,74.0
2013-04-29,79.94999694824219,79.94999694824219,79.66000366210938,79.93000030517578,424600,90.0,0.0,54.0,70.47,81.0,35.84,89.0
2013-04-30,80.05999755859375,80.4000015258789,79.9000015258789,80.2699966430664,37500,86.0,0.0,61.5,70.47,54.0,31.36,97.0
2013-05-01,80.43000030517578,80.47000122070312,79.05999755859375,79.16999816894531,99400,82.56,0.0,74.0,75.44,67.16,30.24,85.44
2013-05-02,79.30999755859375,79.76000213623047,79.08000183105469,79.55999755859375,45900,78.26,0.0,63.64,74.61999999999998,45.08000000000001,31.68,84.47999999999998
2013-05-03,80.55999755859375,80.72000122070312,79.70999908447266,79.83999633789062,44300,70.52,0.0,48.1,72.16,58.88,43.92,82.56
2013-05-06,80.38999938964844,80.38999938964844,79.44999694824219,79.5199966430664,129300,74.82,18.48,51.8,75.44,56.12000000000001,33.84,84.47999999999998
2013-05-07,79.75,80.41000366210938,79.70999908447266,80.37000274658203,39500,73.96,0.0,64.38,74.61999999999998,44.16,30.96,96.0
2013-05-08,80.31999969482422,81.19000244140625,80.31999969482422,81.13999938964844,51300,86.0,0.0,59.94,70.52,66.24000000000001,29.52,83.52
2013-05-09,81.08999633789062,81.08999633789062,80.23999786376953,80.23999786376953,44000,67.08,0.0,45.88,71.33999999999997,45.08000000000001,31.68,90.24
2013-05-10,80.5999984741211,80.97000122070312,80.43000030517578,80.97000122070312,21600,59.34,0.0,43.66,70.52,23.92,41.04,66.24
2013-05-13,81.0,81.0,80.41000366210938,80.44000244140625,52400,73.96,0.0,43.66,78.72,57.04,36.72,82.56
2013-05-14,80.56999969482422,81.26000213623047,80.56999969482422,81.19999694824219,68400,73.96,0.0,71.78,73.8,34.04,31.68,79.67999999999998
2013-05-15,81.25,81.98999786376953,81.25,81.7699966430664,40700,78.26,0.0,63.64,72.97999999999998,92.0,31.68,94.08
2013-05-16,81.70999908447266,81.7699966430664,81.23999786376953,81.36000061035156,59800,69.66,0.0,50.32,70.52,45.08000000000001,33.12,84.47999999999998
2013-05-17,81.45999908447266,81.68000030517578,81.16999816894531,81.63999938964844,27000,58.48,0.0,60.68,74.61999999999998,47.84,41.04,66.24
2013-05-20,81.62999725341797,81.6500015258789,80.95999908447266,81.0199966430664,109000,72.24,0.0,59.94,72.97999999999998,22.08,36.72,86.39999999999998
2013-05-21,80.88999938964844,81.55999755859375,80.86000061035156,81.01000213623047,69300,72.24,0.0,59.2,80.36,45.08000000000001,33.12,69.12
2013-05-22,81.05000305175781,81.44000244140625,79.33000183105469,79.66999816894531,46400,70.52,0.0,50.32,72.97999999999998,45.08000000000001,33.84,68.16
2013-05-23,78.80000305175781,80.16000366210938,78.37999725341797,80.16000366210938,51600,71.38,0.0,45.14,73.8,34.04,36.72,69.12
2013-05-24,79.7699966430664,79.7699966430664,79.30999755859375,79.7699966430664,17700,57.62,0.0,45.88,75.44,72.68,50.4,56.64
2013-05-28,80.54000091552734,80.72000122070312,79.11000061035156,79.12999725341797,210600,68.8,0.0,38.48,78.72,79.12,39.6,70.08
2013-05-29,78.8499984741211,78.8499984741211,77.4000015258789,77.79000091552734,67000,77.4,0.0,49.58,75.44,45.08000000000001,36.72,85.44
2013-05-30,78.02999877929688,78.5999984741211,77.98999786376953,78.05999755859375,304700,70.52,0.0,50.32,82.0,80.96000000000002,39.6,84.47999999999998
2013-05-31,77.47000122070312,78.43000030517578,77.2699966430664,77.27999877929688,32200,59.34,0.0,37.74,82.0,23.92,46.8,68.16
2013-06-03,77.18000030517578,77.38999938964844,76.56999969482422,77.27999877929688,97100,54.72,0.0,59.84,86.13,40.2,47.88,74.82
2013-06-04,77.01000213623047,78.23999786376953,77.01000213623047,77.63999938964844,59300,71.44,24.5,57.12000000000001,80.91,26.130000000000006,43.68,81.7
2013-06-05,77.25,77.41000366210938,76.70999908447266,76.70999908447266,86000,64.6,0.0,57.8,80.04,40.2,44.52,67.94
2013-06-06,76.55000305175781,78.2300033569336,76.55000305175781,78.16000366210938,53800,66.12,0.0,58.48,78.3,13.4,48.72,70.52
2013-06-07,78.30000305175781,78.5,77.9800033569336,78.2699966430664,33000,70.68,0.0,49.64,81.78,13.4,59.64,66.22
2013-06-10,78.19999694824219,79.06999969482422,78.19999694824219,78.88999938964844,37900,70.68,0.0,59.16,84.39,0.0,52.08,77.4
2013-06-11,77.91999816894531,79.16999816894531,77.91999816894531,78.33000183105469,42500,60.04,0.0,50.32,80.91,0.0,47.04,84.28
2013-06-12,78.81999969482422,78.81999969482422,77.80999755859375,78.0199966430664,39700,64.6,24.75,52.36000000000001,77.42999999999998,13.4,47.04,86.0
2013-06-13,77.98999786376953,79.3499984741211,77.98999786376953,79.2300033569336,19700,64.6,0.0,56.44000000000001,77.42999999999998,26.8,49.56,74.82
2013-06-14,79.16999816894531,79.62000274658203,79.16999816894531,79.18000030517578,27000,59.28,0.0,54.40000000000001,80.91,28.81,56.28,64.5
2013-06-17,79.08999633789062,79.86000061035156,77.97000122070312,78.56999969482422,1012700,69.16,0.0,54.40000000000001,82.65,40.87000000000001,54.6,79.98
2013-06-18,78.0999984741211,79.77999877929688,78.0999984741211,79.62999725341797,33600,76.0,0.0,68.0,87.0,0.0,51.24,82.56
2013-06-19,79.63999938964844,79.63999938964844,77.9800033569336,78.04000091552734,47000,70.68,0.0,59.16,80.04,40.2,48.72,70.52
2013-06-20,77.37000274658203,77.43000030517578,76.37000274658203,76.5,150000,63.84,0.0,57.12000000000001,76.56,40.87000000000001,49.56,73.1
2013-06-21,77.16999816894531,77.16999816894531,76.18000030517578,76.86000061035156,57200,56.24,0.0,56.44000000000001,80.04,14.07,61.32,69.66
2013-06-24,76.18000030517578,76.61000061035156,75.75,76.1500015258789,182800,68.4,0.0,39.44000000000001,81.78,26.8,56.28,72.24
2013-06-25,76.6500015258789,77.7300033569336,76.5999984741211,77.52999877929688,58000,53.96,25.0,65.96000000000001,83.52,26.8,52.08,70.52
2013-06-26,78.06999969482422,78.06999969482422,77.5199966430664,77.86000061035156,28300,61.56,0.0,53.72000000000001,82.65,67.0,52.08,74.82
2013-06-27,78.29000091552734,79.30000305175781,78.29000091552734,79.05000305175781,36900,58.52,0.0,51.00000000000001,80.04,27.47,50.4,77.4
2013-06-28,78.98999786376953,79.30999755859375,78.80999755859375,78.91000366210938,24100,58.52,0.0,41.48,84.39,14.07,62.16,56.76
2013-07-01,78.9800033569336,79.41000366210938,78.70999908447266,78.73999786376953,80200,67.86,0.0,55.61000000000001,81.0,27.44,52.92,83.7
2013-07-02,78.73999786376953,79.47000122070312,78.51000213623047,78.91000366210938,20600,71.76,0.0,45.56,78.3,28.000000000000004,51.24,79.98
2013-07-03,78.33000183105469,79.5999984741211,78.33000183105469,79.33999633789062,14500,58.5,0.0,48.24,81.9,19.040000000000006,57.12,70.68
2013-07-05,79.83999633789062,80.05999755859375,78.80999755859375,80.05999755859375,32200,36.66,0.0,42.88,72.0,10.64,73.08,57.66
2013-07-08,80.4800033569336,80.58000183105469,79.91000366210938,80.36000061035156,54800,64.74000000000001,0.0,51.59,84.60000000000002,17.92,51.24,81.84
2013-07-09,80.6500015258789,80.7699966430664,80.3499984741211,80.62000274658203,37700,68.64,0.0,52.93,78.3,8.96,48.72,87.42
2013-07-10,80.86000061035156,81.05999755859375,80.33999633789062,80.86000061035156,67900,75.66,0.0,45.56,84.60000000000002,18.48,47.88,78.12
2013-07-11,81.88999938964844,81.94000244140625,81.33000183105469,81.80999755859375,152100,70.2,0.0,40.2,80.10000000000002,37.52,49.56,77.19
2013-07-12,81.79000091552734,82.02999877929688,81.4800033569336,81.86000061035156,40700,59.28,0.0,45.56,80.10000000000002,0.0,58.8,73.47
2013-07-15,83.25,83.5,82.62999725341797,83.44000244140625,74000,73.32000000000002,0.0,67.0,81.9,8.96,50.4,81.84
2013-07-16,83.72000122070312,83.9800033569336,83.3499984741211,83.73999786376953,23800,71.76,0.0,67.0,77.4,0.0,47.88,83.7
2013-07-17,83.94000244140625,84.19000244140625,83.80999755859375,83.83000183105469,24500,71.76,0.0,56.28,78.3,18.48,47.88,84.63000000000002
2013-07-18,83.66999816894531,83.9000015258789,83.18000030517578,83.51000213623047,31000,67.08,0.0,44.22000000000001,79.2,0.0,49.56,81.84
2013-07-19,83.55000305175781,83.58000183105469,83.18000030517578,83.4800033569336,14800,64.74000000000001,0.0,36.85,81.0,9.52,61.32,67.89
2013-07-22,83.5,83.81999969482422,83.05999755859375,83.76000213623047,60100,70.2,0.0,59.63,76.5,17.92,52.92,83.7
2013-07-23,83.94999694824219,83.94999694824219,83.38999938964844,83.79000091552734,29900,76.44,0.0,48.24,76.5,0.0,48.72,90.21
2013-07-24,83.58000183105469,83.58000183105469,82.88999938964844,83.12999725341797,29500,74.10000000000002,0.0,58.96,78.3,18.48,46.2,92.07
2013-07-25,82.9000015258789,83.55000305175781,82.9000015258789,83.4800033569336,23000,78.0,0.0,46.23,82.8,56.00000000000001,48.72,93.0
2013-07-26,83.33999633789062,83.44999694824219,83.01000213623047,83.41000366210938,9800,68.64,0.0,39.53,72.0,19.040000000000006,57.96,66.03
2013-07-29,83.3499984741211,83.86000061035156,83.3499984741211,83.5,72900,74.10000000000002,0.0,57.62000000000001,84.60000000000002,17.92,48.72,77.19
2013-07-30,83.83999633789062,83.91999816894531,82.7300033569336,82.7699966430664,36300,73.32000000000002,0.0,50.92,90.0,18.48,47.88,92.07
2013-07-31,82.86000061035156,83.0,82.12999725341797,82.26000213623047,27700,66.3,0.0,46.90000000000001,84.60000000000002,8.96,46.2,78.12
2013-10-01,80.69000244140625,81.5,80.69000244140625,81.30999755859375,52000,73.71000000000002,0.0,64.8,84.39,23.68,30.55,78.96
2013-10-02,81.16999816894531,81.5999984741211,80.70999908447266,81.23999786376953,286100,78.26,0.0,80.0,83.52,36.26,29.9,75.19999999999997
