DATE,UNRATE
2013-04-14,7.556666666666667
2013-04-15,7.553333333333333
2013-04-16,7.55
2013-04-17,7.546666666666667
2013-04-18,7.543333333333333
2013-04-19,7.54
2013-04-20,7.536666666666666
2013-04-21,7.533333333333333
2013-04-22,7.53
2013-04-23,7.526666666666666
2013-04-24,7.523333333333333
2013-04-25,7.52
2013-04-26,7.516666666666667
2013-04-27,7.513333333333334
2013-04-28,7.51
2013-04-29,7.506666666666667
2013-04-30,7.503333333333333
2013-05-01,7.5
2013-05-02,7.5
2013-05-03,7.5
2013-05-04,7.5
2013-05-05,7.5
2013-05-06,7.5
2013-05-07,7.5
2013-05-08,7.5
2013-05-09,7.5
2013-05-10,7.5
2013-05-11,7.5
2013-05-12,7.5
2013-05-13,7.5
2013-05-14,7.5
2013-05-15,7.5
2013-05-16,7.5
2013-05-17,7.5
2013-05-18,7.5
2013-05-19,7.5
2013-05-20,7.5
2013-05-21,7.5
2013-05-22,7.5
2013-05-23,7.5
2013-05-24,7.5
2013-05-25,7.5
2013-05-26,7.5
2013-05-27,7.5
2013-05-28,7.5
2013-05-29,7.5
2013-05-30,7.5
2013-05-31,7.5
2013-06-01,7.5
2013-06-02,7.493333333333333
2013-06-03,7.486666666666666
2013-06-04,7.48
2013-06-05,7.473333333333334
2013-06-06,7.466666666666667
2013-06-07,7.46
2013-06-08,7.453333333333333
2013-06-09,7.446666666666666
2013-06-10,7.4399999999999995
2013-06-11,7.433333333333334
2013-06-12,7.426666666666667
2013-06-13,7.42
2013-06-14,7.413333333333333
2013-06-15,7.406666666666666
2013-06-16,7.4
2013-06-17,7.3933333333333335
2013-06-18,7.386666666666667
2013-06-19,7.38
2013-06-20,7.373333333333333
2013-06-21,7.366666666666666
2013-06-22,7.359999999999999
2013-06-23,7.3533333333333335
2013-06-24,7.346666666666667
2013-06-25,7.34
2013-06-26,7.333333333333333
2013-06-27,7.326666666666666
2013-06-28,7.32
2013-06-29,7.3133333333333335
2013-06-30,7.306666666666667
2013-07-01,7.3
2013-07-02,7.296774193548387
2013-07-03,7.293548387096774
2013-07-04,7.290322580645161
2013-07-05,7.287096774193548
2013-07-06,7.283870967741936
2013-07-07,7.280645161290322
2013-07-08,7.27741935483871
2013-07-09,7.274193548387097
2013-07-10,7.2709677419354835
2013-07-11,7.267741935483871
2013-07-12,7.264516129032258
2013-07-13,7.2612903225806456
2013-07-14,7.258064516129032
2013-07-15,7.254838709677419
2013-07-16,7.251612903225807
2013-07-17,7.248387096774193
2013-07-18,7.245161290322581
2013-07-19,7.241935483870968
2013-07-20,7.2387096774193544
2013-07-21,7.235483870967742
2013-07-22,7.232258064516129
2013-07-23,7.2290322580645165
2013-07-24,7.225806451612903
2013-07-25,7.22258064516129
2013-07-26,7.219354838709678
2013-07-27,7.216129032258064
2013-07-28,7.212903225806452
2013-07-29,7.209677419354839
2013-07-30,7.206451612903226
2013-07-31,7.203225806451613
2013-08-01,7.2
2013-08-02,7.2
2013-08-03,7.2
2013-08-04,7.2
2013-08-05,7.2
2013-08-06,7.2
2013-08-07,7.2
2013-08-08,7.2
2013-08-09,7.2
2013-08-10,7.2
2013-08-11,7.2
2013-08-12,7.2
2013-08-13,7.2
2013-08-14,7.2
2013-08-15,7.2
2013-08-16,7.2
2013-08-17,7.2
2013-08-18,7.2
2013-08-19,7.2
2013-08-20,7.2
2013-08-21,7.2
2013-08-22,7.2
2013-08-23,7.2
2013-08-24,7.2
2013-08-25,7.2
2013-08-26,7.2
2013-08-27,7.2
2013-08-28,7.2
2013-08-29,7.2
2013-08-30,7.2
2013-08-31,7.2
2013-09-01,7.2
2013-09-02,7.2
2013-09-03,7.2
2013-09-04,7.2
2013-09-05,7.2
2013-09-06,7.2
2013-09-07,7.2
2013-09-08,7.2
2013-09-09,7.2
2013-09-10,7.2
2013-09-11,7.2
2013-09-12,7.2
2013-09-13,7.2
2013-09-14,7.2
2013-09-15,7.2
2013-09-16,7.2
2013-09-17,7.2
2013-09-18,7.2
2013-09-19,7.2
2013-09-20,7.2
2013-09-21,7.2
2013-09-22,7.2
2013-09-23,7.2
2013-09-24,7.2
2013-09-25,7.2
2013-09-26,7.2
2013-09-27,7.2
2013-09-28,7.2
2013-09-29,7.2
2013-09-30,7.2
2013-10-01,7.2
2013-10-02,7.190322580645161
2013-10-03,7.180645161290323
2013-10-04,7.170967741935484
2013-10-05,7.161290322580645
2013-10-06,7.151612903225806
2013-10-07,7.141935483870968
2013-10-08,7.1322580645161295
2013-10-09,7.122580645161291
2013-10-10,7.112903225806452
2013-10-11,7.103225806451613
2013-10-12,7.093548387096774
2013-10-13,7.083870967741936
2013-10-14,7.074193548387097
2013-10-15,7.064516129032258
2013-10-16,7.054838709677419
2013-10-17,7.045161290322581
2013-10-18,7.0354838709677425
2013-10-19,7.025806451612904
2013-10-20,7.016129032258065
2013-10-21,7.006451612903226
2013-10-22,6.996774193548387
2013-10-23,6.987096774193549
2013-10-24,6.97741935483871
2013-10-25,6.967741935483871
2013-10-26,6.958064516129032
2013-10-27,6.948387096774194
2013-10-28,6.9387096774193555
2013-10-29,6.929032258064517
2013-10-30,6.919354838709678
2013-10-31,6.909677419354839
2013-11-01,6.9
