Date,Open,High,Low,Close,Volume,Advertising,UNRATE,Interactive Media,Broadcasting,ICSA,Cable,Alternative Carriers,Movies
2013-04-01,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,77.42,7.5566666666666675,41.0,51.12,354142.85714285716,74.4,0.0,39.68
2013-04-02,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,78.4,7.5566666666666675,61.0,47.52,354142.85714285716,76.0,0.0,38.4
2013-04-03,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,78.4,7.5566666666666675,20.0,38.88,354142.85714285716,80.0,0.0,36.48
2013-04-04,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,82.32,7.5566666666666675,62.0,33.12,354142.85714285716,68.8,0.0,38.4
2013-04-05,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,58.8,7.5566666666666675,21.0,53.28,354142.85714285716,67.2,0.0,45.44
2013-04-06,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,39.2,7.5566666666666675,77.0,33.84,354142.85714285716,69.60000000000001,0.0,64.0
2013-04-07,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,37.24,7.5566666666666675,25.0,27.36,354142.85714285716,68.8,0.0,61.44
2013-04-08,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,76.44,7.5566666666666675,60.0,69.12,354142.85714285716,73.60000000000002,0.0,35.2
2013-04-09,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,81.34,7.5566666666666675,60.0,57.6,354142.85714285716,67.2,0.0,32.0
2013-04-10,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,83.3,7.5566666666666675,81.0,57.6,354142.85714285716,69.60000000000001,0.0,32.0
2013-04-11,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,75.46,7.5566666666666675,62.0,48.24,354142.85714285716,69.60000000000001,0.0,33.92
2013-04-12,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,62.72,7.5566666666666675,42.0,48.96,354142.85714285716,72.0,0.0,45.44
2013-04-13,78.66000366210938,78.66000366210938,77.44999694824219,77.68000030517578,226900.0,37.24,7.5566666666666675,51.0,18.72,354142.85714285716,71.2,0.0,63.36
