Date,Accumulation
2013-04-01,7.35
2013-04-02,8.61
2013-04-03,6.72
2013-04-04,6.3
2013-04-05,11.129999999999999
2013-04-06,6.3
2013-04-07,4.62
2013-04-08,10.5
2013-04-09,17.22
2013-04-10,13.44
2013-04-11,19.32
2013-04-12,8.82
2013-04-13,6.09
2013-04-14,9.24
2013-04-15,16.59
2013-04-16,21.0
2013-04-17,14.07
2013-04-18,11.549999999999999
2013-04-19,12.6
2013-04-20,4.62
2013-04-21,6.3
2013-04-22,11.76
2013-04-23,13.02
2013-04-24,9.24
2013-04-25,11.34
2013-04-26,7.77
2013-04-27,9.45
2013-04-28,4.62
2013-04-29,12.809999999999999
2013-04-30,9.24
2013-05-01,6.6
2013-05-02,12.0
2013-05-03,7.319999999999999
2013-05-04,3.0
2013-05-05,0.96
2013-05-06,5.04
2013-05-07,3.84
2013-05-08,4.56
2013-05-09,3.12
2013-05-10,2.88
2013-05-11,1.92
2013-05-12,3.5999999999999996
2013-05-13,4.68
2013-05-14,5.04
2013-05-15,6.24
2013-05-16,3.5999999999999996
2013-05-17,4.08
2013-05-18,6.12
2013-05-19,1.92
2013-05-20,3.84
2013-05-21,3.0
2013-05-22,4.2
2013-05-23,3.96
2013-05-24,2.88
2013-05-25,3.12
2013-05-26,4.2
2013-05-27,5.279999999999999
2013-05-28,2.6399999999999997
2013-05-29,7.319999999999999
2013-05-30,3.5999999999999996
2013-05-31,1.2
2013-06-01,2.52
2013-06-02,2.52
2013-06-03,0.99
2013-06-04,9.0
2013-06-05,5.13
2013-06-06,5.13
2013-06-07,4.2299999999999995
2013-06-08,2.52
2013-06-09,7.6499999999999995
2013-06-10,4.05
2013-06-11,3.96
2013-06-12,8.1
2013-06-13,4.05
2013-06-14,8.549999999999999
2013-06-15,1.3499999999999999
2013-06-16,2.61
2013-06-17,7.199999999999999
2013-06-18,7.109999999999999
2013-06-19,5.04
2013-06-20,3.06
2013-06-21,4.32
2013-06-22,5.22
2013-06-23,3.8699999999999997
2013-06-24,5.22
2013-06-25,3.06
2013-06-26,3.06
2013-06-27,4.14
2013-06-28,3.15
2013-06-29,2.61
2013-06-30,0.0
2013-07-01,2.48
2013-07-02,8.0
2013-07-03,4.48
2013-07-04,3.12
2013-07-05,2.24
2013-07-06,3.12
2013-07-07,3.84
2013-07-08,3.04
2013-07-09,3.04
2013-07-10,4.88
2013-07-11,0.64
2013-07-12,1.92
2013-07-13,1.52
2013-07-14,0.72
2013-07-15,2.48
2013-07-16,1.84
2013-07-17,1.2
2013-07-18,0.64
2013-07-19,2.56
2013-07-20,1.52
2013-07-21,2.32
2013-07-22,1.2
2013-07-23,4.24
2013-07-24,3.68
2013-07-25,5.04
2013-07-26,5.2
2013-07-27,3.12
2013-07-28,1.52
2013-07-29,2.4
2013-07-30,4.24
2013-07-31,3.04
2013-08-01,4.16
2013-08-02,4.32
2013-08-03,2.56
2013-08-04,2.56
2013-08-05,1.04
2013-08-06,4.08
2013-08-07,3.04
2013-08-08,2.08
2013-08-09,3.2
2013-08-10,3.84
2013-08-11,2.64
2013-08-12,7.28
2013-08-13,6.08
2013-08-14,2.08
2013-08-15,6.24
2013-08-16,3.2800000000000002
2013-08-17,0.0
2013-08-18,2.56
2013-08-19,4.16
2013-08-20,7.04
2013-08-21,6.16
