Date,Analyst Ratings
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,38.22
2013-04-04,19.11
2013-04-05,0.0
2013-04-06,0.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,19.11
2013-04-10,19.11
2013-04-11,38.71
2013-04-12,39.2
2013-04-13,24.009999999999998
2013-04-14,23.52
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,18.62
2013-04-18,0.0
2013-04-19,0.0
2013-04-20,0.0
2013-04-21,24.009999999999998
2013-04-22,19.11
2013-04-23,0.0
2013-04-24,19.11
2013-04-25,0.0
2013-04-26,20.09
2013-04-27,49.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,38.0
2013-05-02,0.0
2013-05-03,20.14
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,19.0
2013-05-08,19.0
2013-05-09,19.0
2013-05-10,20.14
2013-05-11,24.32
2013-05-12,25.080000000000002
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,19.38
2013-05-16,0.0
2013-05-17,0.0
2013-05-18,25.080000000000002
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,19.76
2013-05-24,0.0
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,19.0
2013-05-29,19.0
2013-05-30,0.0
2013-05-31,0.0
2013-06-01,11.25
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,9.0
2013-06-05,9.0
2013-06-06,0.0
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,11.25
2013-06-10,0.0
2013-06-11,9.0
2013-06-12,45.0
2013-06-13,13.5
2013-06-14,0.0
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,9.0
2013-06-19,0.0
2013-06-20,9.0
2013-06-21,0.0
2013-06-22,0.0
2013-06-23,0.0
2013-06-24,9.0
2013-06-25,0.0
2013-06-26,0.0
2013-06-27,18.45
2013-06-28,0.0
2013-06-29,22.95
2013-06-30,0.0
2013-07-01,22.400000000000002
2013-07-02,0.0
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,27.720000000000002
2013-07-08,22.12
2013-07-09,0.0
2013-07-10,22.12
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,22.12
2013-07-16,21.840000000000003
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-20,27.44
2013-07-21,28.000000000000004
2013-07-22,0.0
2013-07-23,0.0
2013-07-24,0.0
2013-07-25,0.0
2013-07-26,0.0
2013-07-27,28.000000000000004
2013-07-28,0.0
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,0.0
2013-08-06,0.0
2013-08-07,0.0
2013-08-08,0.0
2013-08-09,0.0
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,0.0
2013-08-13,0.0
2013-08-14,0.0
2013-08-15,0.0
2013-08-16,0.0
2013-08-17,0.0
2013-08-18,23.0
2013-08-19,0.0
2013-08-20,0.0
2013-08-21,0.0
2013-08-22,0.0
2013-08-23,0.0
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,0.0
2013-08-29,0.0
2013-08-30,0.0
2013-08-31,21.85
2013-09-01,19.55
2013-09-02,17.71
2013-09-03,0.0
2013-09-04,0.0
2013-09-05,15.41
2013-09-06,0.0
2013-09-07,18.86
2013-09-08,0.0
2013-09-09,15.180000000000001
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,23.0
2013-09-13,0.0
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,14.950000000000001
2013-09-17,14.950000000000001
2013-09-18,0.0
2013-09-19,15.180000000000001
2013-09-20,0.0
2013-09-21,19.09
2013-09-22,18.630000000000003
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,16.560000000000002
2013-09-28,19.55
2013-09-29,0.0
2013-09-30,0.0
2013-10-01,15.04
2013-10-02,0.0
2013-10-03,15.51
2013-10-04,15.979999999999999
2013-10-05,19.27
2013-10-06,0.0
2013-10-07,15.51
2013-10-08,0.0
2013-10-09,15.51
2013-10-10,0.0
2013-10-11,24.439999999999998
2013-10-12,0.0
2013-10-13,19.27
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,0.0
2013-10-17,31.02
2013-10-18,15.979999999999999
2013-10-19,19.27
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,22.56
2013-10-23,15.04
2013-10-24,15.51
2013-10-25,0.0
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,15.04
2013-10-29,15.04
2013-10-30,15.04
2013-10-31,47.0
2013-11-01,0.0
2013-11-02,0.0
2013-11-03,37.0
2013-11-04,29.97
2013-11-05,0.0
2013-11-06,0.0
2013-11-07,0.0
2013-11-08,0.0
2013-11-09,0.0
2013-11-10,0.0
2013-11-11,0.0
2013-11-12,29.6
2013-11-13,0.0
2013-11-14,30.34
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,0.0
2013-11-19,0.0
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,30.34
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,0.0
2013-11-30,37.0
2013-12-01,23.779999999999998
2013-12-02,0.0
2013-12-03,20.09
2013-12-04,0.0
2013-12-05,41.0
2013-12-06,21.32
2013-12-07,0.0
2013-12-08,25.009999999999998
2013-12-09,20.5
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,22.139999999999997
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,0.0
2013-12-17,31.979999999999997
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,0.0
2013-12-21,28.29
2013-12-22,0.0
2013-12-23,24.189999999999998
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,0.0
2013-12-27,24.189999999999998
2013-12-28,27.06
2013-12-29,26.65
2013-12-30,22.959999999999997
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,0.0
2014-01-03,27.560000000000002
2014-01-04,0.0
2014-01-05,0.0
2014-01-06,0.0
2014-01-07,51.480000000000004
2014-01-08,0.0
2014-01-09,26.52
2014-01-10,0.0
2014-01-11,0.0
