Date,Bar Chart
2013-04-01,31.86
2013-04-02,49.559999999999995
2013-04-03,30.09
2013-04-04,48.379999999999995
2013-04-05,37.76
2013-04-06,20.06
2013-04-07,27.139999999999997
2013-04-08,23.599999999999998
2013-04-09,33.629999999999995
2013-04-10,27.729999999999997
2013-04-11,46.019999999999996
2013-04-12,33.04
2013-04-13,17.11
2013-04-14,27.139999999999997
2013-04-15,32.449999999999996
2013-04-16,48.379999999999995
2013-04-17,59.0
2013-04-18,37.169999999999995
2013-04-19,34.809999999999995
2013-04-20,22.419999999999998
2013-04-21,17.7
2013-04-22,34.22
2013-04-23,41.89
2013-04-24,37.76
2013-04-25,34.809999999999995
2013-04-26,48.379999999999995
2013-04-27,7.67
2013-04-28,30.09
2013-04-29,35.4
2013-04-30,43.66
2013-05-01,35.96
2013-05-02,27.259999999999998
2013-05-03,24.939999999999998
2013-05-04,20.299999999999997
2013-05-05,29.58
2013-05-06,43.5
2013-05-07,54.519999999999996
2013-05-08,31.319999999999997
2013-05-09,27.839999999999996
2013-05-10,57.99999999999999
2013-05-11,20.299999999999997
2013-05-12,20.88
2013-05-13,32.48
2013-05-14,31.9
2013-05-15,44.08
2013-05-16,48.13999999999999
2013-05-17,33.64
2013-05-18,5.22
2013-05-19,5.22
2013-05-20,31.319999999999997
2013-05-21,42.339999999999996
2013-05-22,55.099999999999994
2013-05-23,32.48
2013-05-24,16.82
2013-05-25,31.319999999999997
2013-05-26,11.02
2013-05-27,9.86
2013-05-28,27.259999999999998
2013-05-29,51.62
2013-05-30,28.419999999999998
2013-05-31,38.279999999999994
2013-06-01,16.12
2013-06-02,13.0
2013-06-03,29.64
2013-06-04,24.96
2013-06-05,40.56
2013-06-06,40.56
2013-06-07,41.6
2013-06-08,16.12
2013-06-09,29.64
2013-06-10,35.88
2013-06-11,27.04
2013-06-12,31.720000000000002
2013-06-13,42.64
2013-06-14,29.12
2013-06-15,14.040000000000001
2013-06-16,10.92
2013-06-17,34.32
2013-06-18,46.800000000000004
2013-06-19,50.96
2013-06-20,39.0
2013-06-21,52.0
2013-06-22,10.92
2013-06-23,21.84
2013-06-24,39.0
2013-06-25,36.4
2013-06-26,38.480000000000004
2013-06-27,51.480000000000004
2013-06-28,37.96
2013-06-29,16.12
2013-06-30,10.92
2013-07-01,23.85
2013-07-02,30.21
2013-07-03,28.09
2013-07-04,4.24
2013-07-05,20.14
2013-07-06,21.73
2013-07-07,4.24
2013-07-08,27.03
2013-07-09,23.85
2013-07-10,37.1
2013-07-11,38.160000000000004
2013-07-12,10.600000000000001
2013-07-13,12.72
2013-07-14,16.43
2013-07-15,27.03
2013-07-16,49.82
2013-07-17,29.68
2013-07-18,20.67
2013-07-19,24.91
2013-07-20,24.91
2013-07-21,12.72
2013-07-22,53.0
2013-07-23,33.39
2013-07-24,20.14
2013-07-25,34.980000000000004
2013-07-26,24.91
2013-07-27,16.96
2013-07-28,16.96
2013-07-29,20.14
2013-07-30,49.82
2013-07-31,33.92
2013-08-01,22.8
2013-08-02,28.2
2013-08-03,11.4
2013-08-04,16.8
2013-08-05,27.0
2013-08-06,22.2
2013-08-07,36.0
2013-08-08,58.199999999999996
2013-08-09,32.4
2013-08-10,28.2
2013-08-11,17.4
2013-08-12,27.0
2013-08-13,40.199999999999996
2013-08-14,50.4
2013-08-15,45.0
2013-08-16,28.799999999999997
2013-08-17,33.6
2013-08-18,11.4
2013-08-19,50.4
2013-08-20,43.8
2013-08-21,18.0
2013-08-22,54.0
2013-08-23,42.0
2013-08-24,55.8
2013-08-25,27.599999999999998
2013-08-26,43.199999999999996
2013-08-27,30.599999999999998
2013-08-28,52.8
2013-08-29,31.2
2013-08-30,60.0
2013-08-31,27.0
2013-09-01,22.4
2013-09-02,35.0
2013-09-03,30.099999999999998
2013-09-04,60.199999999999996
2013-09-05,70.0
2013-09-06,58.8
2013-09-07,42.699999999999996
2013-09-08,41.3
2013-09-09,51.8
2013-09-10,62.99999999999999
2013-09-11,46.9
2013-09-12,56.699999999999996
2013-09-13,39.9
2013-09-14,21.7
2013-09-15,10.5
2013-09-16,33.599999999999994
2013-09-17,38.5
2013-09-18,21.7
2013-09-19,51.099999999999994
2013-09-20,13.299999999999999
2013-09-21,32.199999999999996
2013-09-22,26.599999999999998
2013-09-23,48.3
2013-09-24,60.9
2013-09-25,26.599999999999998
2013-09-26,44.8
2013-09-27,46.199999999999996
2013-09-28,44.099999999999994
2013-09-29,21.7
2013-09-30,60.199999999999996
2013-10-01,46.800000000000004
2013-10-02,49.4
2013-10-03,52.65
2013-10-04,44.85
2013-10-05,24.05
2013-10-06,40.95
2013-10-07,57.2
2013-10-08,44.85
2013-10-09,40.95
2013-10-10,63.050000000000004
2013-10-11,55.25
2013-10-12,5.8500000000000005
2013-10-13,35.75
2013-10-14,35.75
2013-10-15,63.7
2013-10-16,42.9
2013-10-17,62.400000000000006
2013-10-18,39.65
2013-10-19,14.950000000000001
2013-10-20,14.950000000000001
2013-10-21,35.1
2013-10-22,53.300000000000004
2013-10-23,47.45
2013-10-24,42.9
2013-10-25,49.4
2013-10-26,30.55
2013-10-27,11.700000000000001
2013-10-28,48.75
2013-10-29,65.0
2013-10-30,44.2
2013-10-31,43.550000000000004
2013-11-01,43.92
2013-11-02,16.47
2013-11-03,11.59
2013-11-04,35.99
2013-11-05,44.53
2013-11-06,34.16
2013-11-07,46.97
2013-11-08,31.72
2013-11-09,23.79
2013-11-10,32.94
2013-11-11,34.769999999999996
2013-11-12,48.8
2013-11-13,56.12
2013-11-14,61.0
2013-11-15,29.28
2013-11-16,16.47
2013-11-17,18.3
2013-11-18,44.53
2013-11-19,40.87
2013-11-20,54.29
2013-11-21,39.65
2013-11-22,23.18
2013-11-23,9.15
2013-11-24,15.86
2013-11-25,43.31
2013-11-26,42.089999999999996
2013-11-27,34.16
2013-11-28,7.32
2013-11-29,13.42
2013-11-30,16.47
2013-12-01,3.84
2013-12-02,27.84
2013-12-03,37.44
2013-12-04,48.0
2013-12-05,38.879999999999995
2013-12-06,40.32
2013-12-07,19.68
2013-12-08,27.36
2013-12-09,25.439999999999998
2013-12-10,41.28
2013-12-11,39.36
2013-12-12,26.88
2013-12-13,34.56
2013-12-14,24.48
2013-12-15,20.64
2013-12-16,16.8
2013-12-17,6.72
2013-12-18,6.72
