Date,Hotel
2013-04-01,69.0
2013-04-02,71.25
2013-04-03,72.75
2013-04-04,72.75
2013-04-05,75.0
2013-04-06,71.25
2013-04-07,68.25
2013-04-08,68.25
2013-04-09,70.5
2013-04-10,72.75
2013-04-11,69.75
2013-04-12,70.5
2013-04-13,68.25
2013-04-14,68.25
2013-04-15,69.0
2013-04-16,67.5
2013-04-17,71.25
2013-04-18,68.25
2013-04-19,65.25
2013-04-20,68.25
2013-04-21,63.75
2013-04-22,66.0
2013-04-23,71.25
2013-04-24,67.5
2013-04-25,72.0
2013-04-26,70.5
2013-04-27,63.75
2013-04-28,68.25
2013-04-29,69.75
2013-04-30,70.5
2013-05-01,67.76
2013-05-02,66.22
2013-05-03,68.53
2013-05-04,66.99
2013-05-05,65.45
2013-05-06,68.53
2013-05-07,70.07000000000001
2013-05-08,67.76
2013-05-09,66.99
2013-05-10,70.84
2013-05-11,65.45
2013-05-12,63.14
2013-05-13,71.61
2013-05-14,73.15
2013-05-15,73.15
2013-05-16,70.07000000000001
2013-05-17,73.15
2013-05-18,71.61
2013-05-19,70.84
2013-05-20,73.92
2013-05-21,73.92
2013-05-22,72.38
2013-05-23,74.69
2013-05-24,76.23
2013-05-25,77.0
2013-05-26,70.07000000000001
2013-05-27,69.3
2013-05-28,70.07000000000001
2013-05-29,75.46000000000001
2013-05-30,73.15
2013-05-31,75.46000000000001
2013-06-01,75.64999999999999
2013-06-02,74.8
2013-06-03,79.05
2013-06-04,79.05
2013-06-05,77.35
2013-06-06,78.2
2013-06-07,79.05
2013-06-08,77.35
2013-06-09,76.5
2013-06-10,79.05
2013-06-11,77.35
2013-06-12,81.6
2013-06-13,78.2
2013-06-14,79.89999999999999
2013-06-15,79.89999999999999
2013-06-16,74.8
2013-06-17,83.3
2013-06-18,82.45
2013-06-19,82.45
2013-06-20,84.14999999999999
2013-06-21,85.0
2013-06-22,85.0
2013-06-23,85.0
2013-06-24,84.14999999999999
2013-06-25,83.3
2013-06-26,83.3
2013-06-27,79.89999999999999
2013-06-28,81.6
2013-06-29,81.6
2013-06-30,84.14999999999999
2013-07-01,79.2
2013-07-02,81.84
2013-07-03,82.72
2013-07-04,83.6
2013-07-05,81.84
2013-07-06,81.84
2013-07-07,80.08
2013-07-08,80.08
2013-07-09,84.48
2013-07-10,83.6
2013-07-11,84.48
2013-07-12,82.72
2013-07-13,81.84
2013-07-14,76.56
2013-07-15,80.96
2013-07-16,87.12
2013-07-17,85.36
2013-07-18,85.36
2013-07-19,88.0
2013-07-20,85.36
2013-07-21,82.72
2013-07-22,83.6
2013-07-23,83.6
2013-07-24,83.6
2013-07-25,86.24
2013-07-26,83.6
