Date,Interactive Media
2013-04-01,41.0
2013-04-02,61.0
2013-04-03,20.0
2013-04-04,62.0
2013-04-05,21.0
2013-04-06,77.0
2013-04-07,25.0
2013-04-08,60.0
2013-04-09,60.0
2013-04-10,81.0
2013-04-11,62.0
2013-04-12,42.0
2013-04-13,51.0
2013-04-14,0.0
2013-04-15,59.0
2013-04-16,59.0
2013-04-17,100.0
2013-04-18,20.0
2013-04-19,0.0
2013-04-20,77.0
2013-04-21,0.0
2013-04-22,61.0
2013-04-23,40.0
2013-04-24,0.0
2013-04-25,42.0
2013-04-26,22.0
2013-04-27,0.0
2013-04-28,26.0
2013-04-29,60.0
2013-04-30,20.0
2013-05-01,54.9
2013-05-02,54.9
2013-05-03,37.800000000000004
2013-05-04,0.0
2013-05-05,45.9
2013-05-06,54.0
2013-05-07,36.0
2013-05-08,90.0
2013-05-09,36.9
2013-05-10,18.900000000000002
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,56.7
2013-05-14,36.9
2013-05-15,0.0
2013-05-16,36.9
2013-05-17,38.7
2013-05-18,23.400000000000002
2013-05-19,0.0
2013-05-20,18.0
2013-05-21,18.0
2013-05-22,54.9
2013-05-23,18.900000000000002
2013-05-24,39.6
2013-05-25,72.0
2013-05-26,50.4
2013-05-27,22.5
2013-05-28,72.9
2013-05-29,36.9
2013-05-30,18.900000000000002
2013-05-31,19.8
2013-06-01,0.0
2013-06-02,17.0
2013-06-03,0.0
2013-06-04,12.920000000000002
2013-06-05,40.120000000000005
2013-06-06,68.0
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,51.68000000000001
2013-06-10,26.520000000000003
2013-06-11,39.440000000000005
2013-06-12,27.200000000000003
2013-06-13,27.200000000000003
2013-06-14,28.560000000000002
2013-06-15,0.0
2013-06-16,17.68
2013-06-17,68.0
2013-06-18,53.720000000000006
2013-06-19,27.200000000000003
2013-06-20,27.200000000000003
2013-06-21,14.280000000000001
2013-06-22,51.68000000000001
2013-06-23,0.0
2013-06-24,40.800000000000004
2013-06-25,26.520000000000003
2013-06-26,0.0
2013-06-27,27.200000000000003
2013-06-28,0.0
2013-06-29,17.0
2013-06-30,17.0
2013-07-01,16.080000000000002
2013-07-02,16.080000000000002
2013-07-03,67.0
2013-07-04,20.1
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,0.0
2013-07-08,0.0
2013-07-09,16.080000000000002
2013-07-10,16.080000000000002
2013-07-11,16.75
2013-07-12,33.5
2013-07-13,0.0
2013-07-14,19.43
2013-07-15,16.080000000000002
2013-07-16,16.080000000000002
2013-07-17,16.080000000000002
2013-07-18,16.75
2013-07-19,16.75
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,31.490000000000002
2013-07-23,31.490000000000002
2013-07-24,16.080000000000002
2013-07-25,0.0
2013-07-26,34.17
2013-07-27,20.1
2013-07-28,60.300000000000004
2013-07-29,47.57
2013-07-30,47.57
2013-07-31,48.24
2013-08-01,42.64
2013-08-02,45.099999999999994
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,43.46
2013-08-06,63.13999999999999
2013-08-07,21.32
2013-08-08,41.82
2013-08-09,66.42
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,63.959999999999994
2013-08-13,41.82
2013-08-14,21.32
2013-08-15,64.78
2013-08-16,22.139999999999997
2013-08-17,0.0
2013-08-18,52.48
2013-08-19,0.0
2013-08-20,42.64
2013-08-21,21.32
2013-08-22,63.959999999999994
2013-08-23,44.279999999999994
2013-08-24,52.48
2013-08-25,0.0
2013-08-26,62.31999999999999
2013-08-27,61.49999999999999
2013-08-28,82.0
2013-08-29,21.32
2013-08-30,21.32
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,58.65
2013-09-03,85.0
2013-09-04,17.0
2013-09-05,34.0
2013-09-06,52.699999999999996
2013-09-07,0.0
2013-09-08,20.4
2013-09-09,50.15
2013-09-10,65.45
2013-09-11,33.15
2013-09-12,51.0
2013-09-13,17.0
