Date,Market Timing
2013-04-01,0.0
2013-04-02,13.200000000000001
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,13.600000000000001
2013-04-06,0.0
2013-04-07,32.800000000000004
2013-04-08,13.200000000000001
2013-04-09,12.8
2013-04-10,13.200000000000001
2013-04-11,26.0
2013-04-12,0.0
2013-04-13,16.400000000000002
2013-04-14,0.0
2013-04-15,25.200000000000003
2013-04-16,12.8
2013-04-17,0.0
2013-04-18,12.8
2013-04-19,13.600000000000001
2013-04-20,0.0
2013-04-21,16.8
2013-04-22,26.400000000000002
2013-04-23,12.8
2013-04-24,0.0
2013-04-25,40.0
2013-04-26,28.0
2013-04-27,16.8
2013-04-28,0.0
2013-04-29,13.200000000000001
2013-04-30,13.200000000000001
2013-05-01,26.5
2013-05-02,26.5
2013-05-03,27.560000000000002
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,53.0
2013-05-07,25.970000000000002
2013-05-08,25.970000000000002
2013-05-09,26.5
2013-05-10,0.0
2013-05-11,0.0
2013-05-12,34.980000000000004
2013-05-13,27.03
2013-05-14,26.5
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,28.62
2013-05-18,0.0
2013-05-19,32.86
2013-05-20,52.470000000000006
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-24,28.62
2013-05-25,0.0
2013-05-26,36.57
2013-05-27,33.39
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,27.03
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,37.62
2013-06-04,18.81
2013-06-05,19.38
2013-06-06,19.38
2013-06-07,29.069999999999997
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,56.99999999999999
2013-06-11,18.81
2013-06-12,38.76
2013-06-13,19.38
2013-06-14,20.52
2013-06-15,24.509999999999998
2013-06-16,0.0
2013-06-17,29.069999999999997
2013-06-18,0.0
2013-06-19,38.76
2013-06-20,19.38
2013-06-21,0.0
2013-06-22,24.509999999999998
2013-06-23,25.08
2013-06-24,38.19
2013-06-25,19.38
2013-06-26,0.0
2013-06-27,19.38
2013-06-28,19.95
2013-06-29,24.509999999999998
2013-06-30,24.509999999999998
2013-07-01,21.6
2013-07-02,22.14
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,26.46
2013-07-06,27.540000000000003
2013-07-07,27.540000000000003
2013-07-08,22.14
2013-07-09,21.060000000000002
2013-07-10,21.6
2013-07-11,0.0
2013-07-12,44.82
2013-07-13,0.0
2013-07-14,26.46
2013-07-15,0.0
2013-07-16,21.6
2013-07-17,43.2
2013-07-18,32.940000000000005
2013-07-19,0.0
2013-07-20,54.0
2013-07-21,54.0
2013-07-22,21.6
2013-07-23,42.660000000000004
2013-07-24,21.6
2013-07-25,0.0
2013-07-26,0.0
2013-07-27,27.0
2013-07-28,27.0
2013-07-29,0.0
2013-07-30,21.060000000000002
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0
2013-08-03,15.5
2013-08-04,31.0
2013-08-05,12.4
2013-08-06,0.0
2013-08-07,12.4
2013-08-08,12.4
2013-08-09,0.0
2013-08-10,0.0
2013-08-11,15.81
2013-08-12,12.4
2013-08-13,12.09
2013-08-14,25.11
2013-08-15,0.0
2013-08-16,13.02
2013-08-17,0.0
2013-08-18,0.0
2013-08-19,24.49
2013-08-20,12.4
2013-08-21,0.0
2013-08-22,12.4
2013-08-23,0.0
2013-08-24,30.69
2013-08-25,14.879999999999999
2013-08-26,11.78
2013-08-27,23.87
2013-08-28,23.87
2013-08-29,12.09
2013-08-30,12.709999999999999
2013-08-31,0.0
2013-09-01,25.200000000000003
2013-09-02,0.0
2013-09-03,19.6
2013-09-04,19.6
2013-09-05,20.0
2013-09-06,0.0
2013-09-07,0.0
2013-09-08,23.6
2013-09-09,19.6
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,39.6
