Date,Movies
2013-04-01,39.68
2013-04-02,38.4
2013-04-03,36.480000000000004
2013-04-04,38.4
2013-04-05,45.44
2013-04-06,64.0
2013-04-07,61.44
2013-04-08,35.2
2013-04-09,32.0
2013-04-10,32.0
2013-04-11,33.92
2013-04-12,45.44
2013-04-13,63.36
2013-04-14,60.800000000000004
2013-04-15,33.92
2013-04-16,30.72
2013-04-17,31.36
2013-04-18,32.64
2013-04-19,42.24
2013-04-20,63.36
2013-04-21,59.52
2013-04-22,35.84
2013-04-23,32.0
2013-04-24,33.92
2013-04-25,33.28
2013-04-26,40.96
2013-04-27,60.800000000000004
2013-04-28,62.72
2013-04-29,35.84
2013-04-30,31.36
2013-05-01,30.24
2013-05-02,31.68
2013-05-03,43.92
2013-05-04,63.36
2013-05-05,57.599999999999994
2013-05-06,33.12
2013-05-07,30.959999999999997
2013-05-08,30.24
2013-05-09,31.68
2013-05-10,41.04
2013-05-11,62.64
2013-05-12,60.48
2013-05-13,37.44
2013-05-14,31.68
2013-05-15,31.68
2013-05-16,33.839999999999996
2013-05-17,41.04
2013-05-18,61.199999999999996
2013-05-19,61.919999999999995
2013-05-20,36.72
2013-05-21,33.12
2013-05-22,33.839999999999996
2013-05-23,37.44
2013-05-24,49.68
2013-05-25,71.28
2013-05-26,72.0
2013-05-27,68.39999999999999
2013-05-28,39.6
2013-05-29,36.72
2013-05-30,39.6
2013-05-31,46.8
2013-06-01,78.11999999999999
2013-06-02,78.11999999999999
2013-06-03,47.879999999999995
2013-06-04,43.68
2013-06-05,44.519999999999996
2013-06-06,48.72
2013-06-07,59.64
2013-06-08,79.8
2013-06-09,79.8
2013-06-10,52.08
2013-06-11,47.04
2013-06-12,47.04
2013-06-13,49.559999999999995
2013-06-14,56.28
2013-06-15,78.96
2013-06-16,78.96
2013-06-17,54.6
2013-06-18,51.239999999999995
2013-06-19,48.72
2013-06-20,49.559999999999995
2013-06-21,61.32
2013-06-22,84.0
2013-06-23,81.48
2013-06-24,56.28
2013-06-25,52.08
2013-06-26,52.08
2013-06-27,50.4
2013-06-28,62.16
2013-06-29,80.64
2013-06-30,83.16
2013-07-01,52.919999999999995
2013-07-02,51.239999999999995
2013-07-03,57.12
2013-07-04,73.08
2013-07-05,73.08
2013-07-06,84.0
2013-07-07,80.64
2013-07-08,51.239999999999995
2013-07-09,48.72
2013-07-10,47.879999999999995
2013-07-11,49.559999999999995
2013-07-12,58.8
2013-07-13,78.11999999999999
2013-07-14,73.08
2013-07-15,50.4
2013-07-16,47.879999999999995
2013-07-17,47.879999999999995
2013-07-18,49.559999999999995
2013-07-19,61.32
2013-07-20,80.64
2013-07-21,80.64
2013-07-22,52.919999999999995
2013-07-23,48.72
2013-07-24,46.199999999999996
2013-07-25,48.72
2013-07-26,57.96
2013-07-27,80.64
