Date,Return on Equity
2013-04-01,42.0
2013-04-02,17.0
2013-04-03,17.0
2013-04-04,26.0
2013-04-05,18.0
2013-04-06,11.0
2013-04-07,21.0
2013-04-08,33.0
2013-04-09,42.0
2013-04-10,100.0
2013-04-11,51.0
2013-04-12,9.0
2013-04-13,21.0
2013-04-14,42.0
2013-04-15,32.0
2013-04-16,25.0
2013-04-17,58.0
2013-04-18,41.0
2013-04-19,26.0
2013-04-20,73.0
2013-04-21,21.0
2013-04-22,85.0
2013-04-23,33.0
2013-04-24,42.0
2013-04-25,87.0
2013-04-26,54.0
2013-04-27,54.0
2013-04-28,53.0
2013-04-29,49.0
2013-04-30,42.0
2013-05-01,43.92
2013-05-02,35.38
2013-05-03,18.3
2013-05-04,22.57
2013-05-05,33.55
2013-05-06,44.53
2013-05-07,43.31
2013-05-08,61.0
2013-05-09,43.92
2013-05-10,46.97
2013-05-11,22.57
2013-05-12,11.59
2013-05-13,17.69
2013-05-14,8.54
2013-05-15,17.69
2013-05-16,26.84
2013-05-17,28.06
2013-05-18,11.59
2013-05-19,10.98
2013-05-20,53.07
2013-05-21,26.23
2013-05-22,53.07
2013-05-23,26.84
2013-05-24,28.06
2013-05-25,23.18
2013-05-26,12.2
2013-05-27,32.33
2013-05-28,26.23
2013-05-29,8.54
2013-05-30,17.69
2013-05-31,28.669999999999998
2013-06-01,10.5
2013-06-02,21.0
2013-06-03,8.4
2013-06-04,16.8
2013-06-05,34.019999999999996
2013-06-06,16.8
2013-06-07,25.619999999999997
2013-06-08,21.419999999999998
2013-06-09,10.5
2013-06-10,33.18
2013-06-11,16.38
2013-06-12,25.2
2013-06-13,25.619999999999997
2013-06-14,26.88
2013-06-15,10.92
2013-06-16,21.84
2013-06-17,34.019999999999996
2013-06-18,16.8
2013-06-19,16.38
2013-06-20,17.22
2013-06-21,0.0
2013-06-22,10.5
2013-06-23,0.0
2013-06-24,17.22
2013-06-25,42.0
2013-06-26,8.4
2013-06-27,25.2
2013-06-28,8.82
2013-06-29,0.0
2013-06-30,10.92
2013-07-01,8.4
2013-07-02,12.4
2013-07-03,12.8
2013-07-04,15.600000000000001
2013-07-05,9.600000000000001
2013-07-06,10.4
2013-07-07,15.600000000000001
2013-07-08,16.400000000000002
2013-07-09,28.400000000000002
2013-07-10,8.0
2013-07-11,20.8
2013-07-12,16.8
2013-07-13,15.200000000000001
2013-07-14,14.8
2013-07-15,20.400000000000002
2013-07-16,12.0
2013-07-17,16.0
2013-07-18,16.8
2013-07-19,17.2
2013-07-20,10.0
2013-07-21,20.8
2013-07-22,40.0
2013-07-23,28.400000000000002
2013-07-24,12.4
2013-07-25,8.4
2013-07-26,8.8
2013-07-27,25.6
2013-07-28,25.6
2013-07-29,20.0
2013-07-30,20.400000000000002
2013-07-31,20.400000000000002
2013-08-01,7.5
2013-08-02,15.6
2013-08-03,0.0
2013-08-04,14.1
2013-08-05,22.8
2013-08-06,0.0
2013-08-07,15.0
2013-08-08,15.0
2013-08-09,23.099999999999998
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,30.0
2013-08-13,7.5
2013-08-14,26.4
2013-08-15,7.8
2013-08-16,0.0
2013-08-17,9.299999999999999
2013-08-18,13.799999999999999
2013-08-19,30.0
2013-08-20,11.1
2013-08-21,7.5
2013-08-22,15.0
2013-08-23,7.8
2013-08-24,0.0
2013-08-25,18.3
2013-08-26,14.399999999999999
2013-08-27,18.0
2013-08-28,21.9
2013-08-29,11.1
2013-08-30,19.2
2013-08-31,18.0
