Date,Technical Analysis
2013-04-01,19.2
2013-04-02,0.0
2013-04-03,26.4
2013-04-04,11.4
2013-04-05,24.0
2013-04-06,19.2
2013-04-07,14.399999999999999
2013-04-08,22.8
2013-04-09,15.0
2013-04-10,18.599999999999998
2013-04-11,26.4
2013-04-12,23.4
2013-04-13,14.399999999999999
2013-04-14,28.2
2013-04-15,10.799999999999999
2013-04-16,33.6
2013-04-17,60.0
2013-04-18,30.0
2013-04-19,7.8
2013-04-20,19.2
2013-04-21,24.0
2013-04-22,22.8
2013-04-23,11.4
2013-04-24,18.599999999999998
2013-04-25,19.2
2013-04-26,28.2
2013-04-27,19.2
2013-04-28,19.2
2013-04-29,22.2
2013-04-30,30.0
2013-05-01,10.2
2013-05-02,20.4
2013-05-03,42.6
2013-05-04,13.2
2013-05-05,26.4
2013-05-06,41.4
2013-05-07,40.8
2013-05-08,60.0
2013-05-09,10.2
2013-05-10,0.0
2013-05-11,13.2
2013-05-12,27.0
2013-05-13,31.2
2013-05-14,40.8
2013-05-15,51.6
2013-05-16,52.199999999999996
2013-05-17,21.599999999999998
2013-05-18,0.0
2013-05-19,25.8
2013-05-20,51.6
2013-05-21,19.8
2013-05-22,30.599999999999998
2013-05-23,31.2
2013-05-24,32.4
2013-05-25,40.199999999999996
2013-05-26,0.0
2013-05-27,25.8
2013-05-28,40.8
2013-05-29,20.4
2013-05-30,31.2
2013-05-31,33.0
2013-06-01,38.43
2013-06-02,28.06
2013-06-03,59.78
2013-06-04,44.53
2013-06-05,45.14
2013-06-06,45.14
2013-06-07,46.36
2013-06-08,28.06
2013-06-09,0.0
2013-06-10,43.92
2013-06-11,43.92
2013-06-12,37.21
2013-06-13,45.14
2013-06-14,31.72
2013-06-15,39.04
2013-06-16,0.0
2013-06-17,61.0
2013-06-18,43.92
2013-06-19,29.89
2013-06-20,37.82
2013-06-21,23.79
2013-06-22,29.28
2013-06-23,57.339999999999996
2013-06-24,22.57
2013-06-25,45.14
2013-06-26,37.82
2013-06-27,30.5
2013-06-28,23.79
2013-06-29,47.58
2013-06-30,28.669999999999998
2013-07-01,27.0
2013-07-02,22.68
2013-07-03,28.080000000000002
2013-07-04,22.68
2013-07-05,22.14
2013-07-06,23.220000000000002
2013-07-07,34.56
2013-07-08,22.68
2013-07-09,27.0
2013-07-10,18.36
2013-07-11,14.040000000000001
2013-07-12,37.260000000000005
2013-07-13,11.34
2013-07-14,10.8
2013-07-15,17.82
2013-07-16,27.0
2013-07-17,17.82
2013-07-18,18.36
2013-07-19,23.76
2013-07-20,22.68
2013-07-21,11.34
2013-07-22,54.0
2013-07-23,44.28
2013-07-24,27.540000000000003
2013-07-25,18.900000000000002
2013-07-26,23.76
2013-07-27,0.0
2013-07-28,11.34
2013-07-29,31.860000000000003
2013-07-30,17.82
2013-07-31,22.68
2013-08-01,37.5
2013-08-02,19.5
2013-08-03,31.0
2013-08-04,15.5
2013-08-05,12.5
2013-08-06,24.5
2013-08-07,25.0
2013-08-08,12.5
2013-08-09,38.5
2013-08-10,38.5
2013-08-11,31.5
2013-08-12,12.5
2013-08-13,36.5
2013-08-14,44.0
2013-08-15,12.5
2013-08-16,26.0
2013-08-17,31.5
2013-08-18,46.5
2013-08-19,37.0
2013-08-20,37.5
2013-08-21,50.0
2013-08-22,50.0
2013-08-23,38.5
2013-08-24,46.0
2013-08-25,23.0
2013-08-26,30.0
2013-08-27,42.0
2013-08-28,24.0
2013-08-29,36.5
2013-08-30,12.5
2013-08-31,15.0
2013-09-01,21.5
2013-09-02,10.0
2013-09-03,21.0
2013-09-04,29.5
2013-09-05,21.0
2013-09-06,8.5
2013-09-07,10.5
2013-09-08,20.0
2013-09-09,21.0
2013-09-10,24.5
2013-09-11,41.5
2013-09-12,25.5
2013-09-13,13.0
2013-09-14,10.5
2013-09-15,10.0
2013-09-16,25.0
2013-09-17,29.0
2013-09-18,12.5
2013-09-19,25.0
2013-09-20,26.5
2013-09-21,26.0
2013-09-22,25.5
2013-09-23,25.5
2013-09-24,25.5
2013-09-25,25.5
2013-09-26,26.0
2013-09-27,50.0
2013-09-28,43.0
2013-09-29,10.5
2013-09-30,25.5
2013-10-01,8.26
2013-10-02,42.48
2013-10-03,17.11
2013-10-04,26.549999999999997
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,33.629999999999995
2013-10-08,8.85
2013-10-09,34.809999999999995
2013-10-10,8.85
2013-10-11,18.29
2013-10-12,0.0
2013-10-13,21.83
2013-10-14,0.0
2013-10-15,25.369999999999997
2013-10-16,8.85
2013-10-17,17.11
2013-10-18,27.139999999999997
2013-10-19,10.62
2013-10-20,10.62
2013-10-21,34.22
2013-10-22,41.3
2013-10-23,25.959999999999997
2013-10-24,43.07
2013-10-25,17.7
2013-10-26,11.209999999999999
2013-10-27,42.48
2013-10-28,24.779999999999998
2013-10-29,59.0
2013-10-30,25.369999999999997
2013-10-31,17.7
2013-11-01,22.68
2013-11-02,26.46
2013-11-03,13.23
2013-11-04,52.29
2013-11-05,35.910000000000004
2013-11-06,25.830000000000002
2013-11-07,52.29
2013-11-08,27.09
2013-11-09,32.76
2013-11-10,25.830000000000002
2013-11-11,21.42
2013-11-12,25.830000000000002
2013-11-13,10.08
2013-11-14,63.0
2013-11-15,48.51
2013-11-16,12.6
2013-11-17,25.2
2013-11-18,30.240000000000002
2013-11-19,25.2
2013-11-20,30.87
2013-11-21,31.5
2013-11-22,37.8
2013-11-23,12.6
2013-11-24,25.2
2013-11-25,41.58
2013-11-26,52.29
2013-11-27,33.39
2013-11-28,34.02
2013-11-29,24.57
2013-11-30,25.830000000000002
2013-12-01,0.0
2013-12-02,25.849999999999998
2013-12-03,19.74
2013-12-04,20.209999999999997
2013-12-05,6.58
2013-12-06,7.05
2013-12-07,8.459999999999999
2013-12-08,0.0
2013-12-09,20.68
2013-12-10,47.0
2013-12-11,35.25
2013-12-12,21.15
2013-12-13,7.05
2013-12-14,0.0
2013-12-15,8.93
2013-12-16,21.15
2013-12-17,34.309999999999995
2013-12-18,14.1
2013-12-19,15.04
2013-12-20,23.029999999999998
2013-12-21,0.0
2013-12-22,18.33
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,21.15
2013-12-26,8.459999999999999
2013-12-27,31.959999999999997
2013-12-28,0.0
2013-12-29,17.39
2013-12-30,37.129999999999995
2013-12-31,15.51
2014-01-01,15.959999999999999
2014-01-02,25.08
2014-01-03,37.05
2014-01-04,43.31999999999999
2014-01-05,56.99999999999999
2014-01-06,47.309999999999995
2014-01-07,29.639999999999997
2014-01-08,35.91
2014-01-09,30.209999999999997
2014-01-10,37.05
2014-01-11,29.069999999999997
2014-01-12,21.659999999999997
