Date,ASPUS
2013-04-18,321147.25274725276
2013-04-19,321191.2087912088
2013-04-20,321235.16483516485
2013-04-21,321279.1208791209
2013-04-22,321323.07692307694
2013-04-23,321367.032967033
2013-04-24,321410.989010989
2013-04-25,321454.94505494507
2013-04-26,321498.9010989011
2013-04-27,321542.85714285716
2013-04-28,321586.8131868132
2013-04-29,321630.76923076925
2013-04-30,321674.7252747253
2013-05-01,321718.68131868134
2013-05-02,321762.6373626374
2013-05-03,321806.5934065934
2013-05-04,321850.5494505495
2013-05-05,321894.5054945055
2013-05-06,321938.46153846156
2013-05-07,321982.4175824176
2013-05-08,322026.37362637365
2013-05-09,322070.3296703297
2013-05-10,322114.28571428574
2013-05-11,322158.2417582418
2013-05-12,322202.1978021978
2013-05-13,322246.1538461539
2013-05-14,322290.1098901099
2013-05-15,322334.06593406596
2013-05-16,322378.021978022
2013-05-17,322421.978021978
2013-05-18,322465.93406593404
2013-05-19,322509.8901098901
2013-05-20,322553.8461538461
2013-05-21,322597.8021978022
2013-05-22,322641.7582417582
2013-05-23,322685.71428571426
2013-05-24,322729.6703296703
2013-05-25,322773.62637362635
2013-05-26,322817.5824175824
2013-05-27,322861.53846153844
2013-05-28,322905.4945054945
2013-05-29,322949.4505494505
2013-05-30,322993.4065934066
2013-05-31,323037.3626373626
2013-06-01,323081.31868131866
2013-06-02,323125.2747252747
2013-06-03,323169.23076923075
2013-06-04,323213.1868131868
2013-06-05,323257.14285714284
2013-06-06,323301.0989010989
2013-06-07,323345.05494505493
2013-06-08,323389.010989011
2013-06-09,323432.967032967
2013-06-10,323476.92307692306
2013-06-11,323520.8791208791
2013-06-12,323564.83516483515
2013-06-13,323608.7912087912
2013-06-14,323652.74725274724
2013-06-15,323696.7032967033
2013-06-16,323740.65934065933
2013-06-17,323784.6153846154
2013-06-18,323828.5714285714
2013-06-19,323872.52747252746
2013-06-20,323916.4835164835
2013-06-21,323960.43956043955
2013-06-22,324004.3956043956
2013-06-23,324048.35164835164
2013-06-24,324092.3076923077
2013-06-25,324136.26373626373
2013-06-26,324180.2197802198
2013-06-27,324224.1758241758
2013-06-28,324268.13186813187
2013-06-29,324312.0879120879
2013-06-30,324356.04395604396
2013-07-01,324400.0
2013-07-02,324508.6956521739
2013-07-03,324617.39130434784
2013-07-04,324726.0869565217
