Date,MSPUS
2013-04-18,267483.5164835165
2013-04-19,267447.25274725276
2013-04-20,267410.989010989
2013-04-21,267374.7252747253
2013-04-22,267338.46153846156
2013-04-23,267302.1978021978
2013-04-24,267265.93406593404
2013-04-25,267229.6703296703
2013-04-26,267193.4065934066
2013-04-27,267157.14285714284
2013-04-28,267120.8791208791
2013-04-29,267084.6153846154
2013-04-30,267048.35164835164
2013-05-01,267012.0879120879
2013-05-02,266975.8241758242
2013-05-03,266939.56043956045
2013-05-04,266903.2967032967
2013-05-05,266867.032967033
2013-05-06,266830.76923076925
2013-05-07,266794.5054945055
2013-05-08,266758.2417582418
2013-05-09,266721.978021978
2013-05-10,266685.71428571426
2013-05-11,266649.4505494505
2013-05-12,266613.1868131868
2013-05-13,266576.92307692306
2013-05-14,266540.65934065933
2013-05-15,266504.3956043956
2013-05-16,266468.13186813187
2013-05-17,266431.86813186813
2013-05-18,266395.6043956044
2013-05-19,266359.34065934067
2013-05-20,266323.07692307694
2013-05-21,266286.8131868132
2013-05-22,266250.5494505495
2013-05-23,266214.28571428574
2013-05-24,266178.021978022
2013-05-25,266141.7582417582
2013-05-26,266105.4945054945
2013-05-27,266069.23076923075
2013-05-28,266032.967032967
2013-05-29,265996.7032967033
2013-05-30,265960.43956043955
2013-05-31,265924.1758241758
2013-06-01,265887.9120879121
2013-06-02,265851.64835164836
2013-06-03,265815.3846153846
2013-06-04,265779.1208791209
2013-06-05,265742.85714285716
2013-06-06,265706.5934065934
2013-06-07,265670.3296703297
2013-06-08,265634.06593406596
2013-06-09,265597.8021978022
2013-06-10,265561.53846153844
2013-06-11,265525.2747252747
2013-06-12,265489.010989011
2013-06-13,265452.74725274724
2013-06-14,265416.4835164835
2013-06-15,265380.2197802198
2013-06-16,265343.95604395604
2013-06-17,265307.6923076923
2013-06-18,265271.4285714286
2013-06-19,265235.16483516485
2013-06-20,265198.9010989011
2013-06-21,265162.6373626374
2013-06-22,265126.37362637365
2013-06-23,265090.1098901099
2013-06-24,265053.8461538461
2013-06-25,265017.5824175824
2013-06-26,264981.31868131866
2013-06-27,264945.05494505493
2013-06-28,264908.7912087912
2013-06-29,264872.52747252746
2013-06-30,264836.26373626373
2013-07-01,264800.0
2013-07-02,264895.652173913
2013-07-03,264991.3043478261
2013-07-04,265086.95652173914
2013-07-05,265182.60869565216
2013-07-06,265278.26086956525
2013-07-07,265373.9130434783
2013-07-08,265469.5652173913
2013-07-09,265565.2173913043
2013-07-10,265660.8695652174
2013-07-11,265756.52173913043
2013-07-12,265852.17391304346
2013-07-13,265947.82608695654
2013-07-14,266043.47826086957
2013-07-15,266139.1304347826
2013-07-16,266234.7826086957
2013-07-17,266330.4347826087
2013-07-18,266426.0869565217
2013-07-19,266521.73913043475
2013-07-20,266617.39130434784
2013-07-21,266713.04347826086
2013-07-22,266808.6956521739
2013-07-23,266904.347826087
2013-07-24,267000.0
2013-07-25,267095.652173913
2013-07-26,267191.3043478261
2013-07-27,267286.95652173914
2013-07-28,267382.60869565216
2013-07-29,267478.26086956525
2013-07-30,267573.9130434783
2013-07-31,267669.5652173913
2013-08-01,267765.2173913043
2013-08-02,267860.8695652174
2013-08-03,267956.52173913043
2013-08-04,268052.17391304346
2013-08-05,268147.82608695654
2013-08-06,268243.47826086957
2013-08-07,268339.1304347826
2013-08-08,268434.7826086957
2013-08-09,268530.4347826087
2013-08-10,268626.0869565217
2013-08-11,268721.73913043475
2013-08-12,268817.39130434784
2013-08-13,268913.04347826086
2013-08-14,269008.6956521739
2013-08-15,269104.347826087
2013-08-16,269200.0
2013-08-17,269295.652173913
2013-08-18,269391.3043478261
2013-08-19,269486.95652173914
2013-08-20,269582.60869565216
2013-08-21,269678.26086956525
2013-08-22,269773.9130434783
2013-08-23,269869.5652173913
2013-08-24,269965.2173913043
2013-08-25,270060.8695652174
2013-08-26,270156.52173913043
2013-08-27,270252.17391304346
2013-08-28,270347.82608695654
2013-08-29,270443.47826086957
2013-08-30,270539.1304347826
2013-08-31,270634.7826086957
2013-09-01,270730.4347826087
2013-09-02,270826.0869565217
2013-09-03,270921.73913043475
2013-09-04,271017.39130434784
2013-09-05,271113.04347826086
2013-09-06,271208.6956521739
2013-09-07,271304.347826087
2013-09-08,271400.0
2013-09-09,271495.652173913
2013-09-10,271591.3043478261
2013-09-11,271686.95652173914
2013-09-12,271782.60869565216
2013-09-13,271878.26086956525
2013-09-14,271973.9130434783
2013-09-15,272069.5652173913
2013-09-16,272165.2173913043
2013-09-17,272260.8695652174
2013-09-18,272356.52173913043
2013-09-19,272452.17391304346
2013-09-20,272547.82608695654
2013-09-21,272643.47826086957
2013-09-22,272739.1304347826
2013-09-23,272834.7826086957
2013-09-24,272930.4347826087
2013-09-25,273026.0869565217
2013-09-26,273121.7391304348
2013-09-27,273217.39130434784
2013-09-28,273313.04347826086
2013-09-29,273408.6956521739
2013-09-30,273504.347826087
2013-10-01,273600.0
2013-10-02,273617.39130434784
2013-10-03,273634.7826086957
2013-10-04,273652.17391304346
