Date,Cable
2013-04-01,74.4
2013-04-02,76.0
2013-04-03,80.0
2013-04-04,68.8
2013-04-05,67.2
2013-04-06,69.60000000000001
2013-04-07,68.8
2013-04-08,73.60000000000001
2013-04-09,67.2
2013-04-10,69.60000000000001
2013-04-11,69.60000000000001
2013-04-12,72.0
2013-04-13,71.2
2013-04-14,66.4
2013-04-15,69.60000000000001
2013-04-16,66.4
2013-04-17,65.60000000000001
2013-04-18,62.400000000000006
2013-04-19,64.0
2013-04-20,62.400000000000006
2013-04-21,67.2
2013-04-22,66.4
2013-04-23,69.60000000000001
2013-04-24,65.60000000000001
2013-04-25,65.60000000000001
2013-04-26,63.2
2013-04-27,65.60000000000001
2013-04-28,56.0
2013-04-29,69.60000000000001
2013-04-30,69.60000000000001
2013-05-01,76.80000000000001
2013-05-02,72.0
2013-05-03,76.0
2013-05-04,65.60000000000001
2013-05-05,68.8
2013-05-06,74.4
2013-05-07,67.2
2013-05-08,72.8
2013-05-09,68.8
2013-05-10,65.60000000000001
2013-05-11,70.4
2013-05-12,60.0
2013-05-13,76.80000000000001
2013-05-14,72.8
2013-05-15,76.0
2013-05-16,73.60000000000001
2013-05-17,77.60000000000001
2013-05-18,64.8
2013-05-19,66.4
2013-05-20,76.80000000000001
2013-05-21,74.4
2013-05-22,73.60000000000001
2013-05-23,72.0
2013-05-24,68.0
2013-05-25,72.8
2013-05-26,64.0
2013-05-27,73.60000000000001
2013-05-28,80.0
2013-05-29,72.8
2013-05-30,75.2
2013-05-31,76.80000000000001
2013-06-01,75.67999999999999
2013-06-02,71.38
2013-06-03,79.12
2013-06-04,78.26
2013-06-05,75.67999999999999
2013-06-06,75.67999999999999
2013-06-07,79.98
2013-06-08,73.96
2013-06-09,69.66
2013-06-10,81.7
2013-06-11,78.26
2013-06-12,74.82
2013-06-13,75.67999999999999
2013-06-14,76.53999999999999
2013-06-15,64.5
2013-06-16,68.8
2013-06-17,80.84
2013-06-18,86.0
2013-06-19,75.67999999999999
2013-06-20,75.67999999999999
2013-06-21,77.4
2013-06-22,71.38
2013-06-23,73.1
2013-06-24,81.7
2013-06-25,82.56
2013-06-26,80.84
2013-06-27,74.82
2013-06-28,83.42
2013-06-29,79.12
2013-06-30,67.94
2013-07-01,80.1
2013-07-02,77.43
2013-07-03,80.99
2013-07-04,69.42
2013-07-05,71.2
2013-07-06,72.09
2013-07-07,64.08
2013-07-08,83.66
