,BAMLH0A0HYM2,T10Y2Y,DFF,DEXUSEU,T10YIE,DGS10,T10Y3M,TEDRATE,USD3MTD156N,BAMLC0A4CBBB
2013-01-01,.,.,0.09,.,.,.,.,.,.,.
2013-01-02,5.16,1.59,0.17,1.3195,2.48,1.86,1.78,0.22,0.30500,1.99
2013-01-03,5.06,1.65,0.17,1.3110,2.46,1.92,1.84,0.22,0.30500,1.96
2013-01-04,5.04,1.66,0.16,1.3047,2.48,1.93,1.86,0.24,0.30500,1.94
2013-01-07,5.02,1.65,0.16,1.3099,2.52,1.92,1.85,0.24,0.30500,1.93
2013-01-08,5.02,1.64,0.15,1.3068,2.49,1.89,1.82,0.24,0.30500,1.93
2013-01-09,4.99,1.64,0.14,1.3078,2.52,1.88,1.82,0.24,0.30500,1.94
2013-01-10,4.94,1.65,0.14,1.3220,2.53,1.91,1.85,0.24,0.30500,1.93
2013-01-11,4.93,1.63,0.14,1.3353,2.52,1.89,1.82,0.23,0.30400,1.93
2013-01-14,4.91,1.63,0.14,1.3369,2.55,1.89,1.81,0.22,0.30400,1.93
2013-01-15,4.96,1.60,0.15,1.3342,2.52,1.86,1.77,0.21,0.30300,1.94
2013-01-16,4.95,1.58,0.14,1.3305,2.49,1.84,1.76,0.22,0.30300,1.94
2013-01-17,4.88,1.61,0.14,1.3356,2.53,1.89,1.82,0.23,0.30200,1.93
2013-01-18,4.89,1.61,0.14,1.3303,2.53,1.87,1.79,0.22,0.30200,1.93
2013-01-21,4.88,.,0.14,.,.,.,.,.,0.30200,1.93
2013-01-22,4.88,1.60,0.14,1.3304,2.54,1.86,1.78,0.22,0.30200,1.93
2013-01-23,4.85,1.60,0.13,1.3308,2.52,1.86,1.78,0.22,0.30100,1.93
2013-01-24,4.82,1.65,0.15,1.3378,2.50,1.88,1.80,0.22,0.30050,1.93
2013-01-25,4.73,1.70,0.14,1.3456,2.54,1.98,1.90,0.22,0.30050,1.91
2013-01-28,4.72,1.71,0.14,1.3459,2.55,2.00,1.93,0.23,0.30150,1.90
2013-01-29,4.78,1.73,0.12,1.3484,2.56,2.03,1.96,0.23,0.30050,1.91
2013-01-30,4.84,1.76,0.12,1.3564,2.57,2.03,1.96,0.23,0.29850,1.92
2013-01-31,4.95,1.75,0.15,1.3584,2.59,2.02,1.95,0.23,0.29800,1.95
2013-02-01,4.94,1.77,0.14,1.3692,2.59,2.04,1.98,0.24,0.29550,1.95
2013-02-04,5.01,1.75,0.13,1.3527,2.59,2.00,1.93,0.23,0.29550,1.97
2013-02-05,5.01,1.77,0.13,1.3569,2.59,2.04,1.97,0.23,0.29550,1.97
2013-02-06,5.04,1.73,0.13,1.3528,2.58,2.00,1.93,0.22,0.29300,1.98
2013-02-07,5.08,1.74,0.13,1.3382,2.57,1.99,1.92,0.22,0.29200,1.98
2013-02-08,5.08,1.74,0.14,1.3366,2.56,1.99,1.92,0.22,0.29200,1.98
2013-02-11,5.06,1.72,0.14,1.3414,2.57,1.99,1.90,0.20,0.29310,1.97
2013-02-12,5.04,1.73,0.13,1.3450,2.59,2.02,1.93,0.20,0.29210,1.97
2013-02-13,4.97,1.76,0.14,1.3448,2.59,2.05,1.95,0.19,0.29010,1.96
2013-02-14,4.97,1.73,0.14,1.3334,2.56,2.00,1.89,0.18,0.29010,1.96
2013-02-15,4.96,1.72,0.16,1.3362,2.54,2.01,1.91,0.19,0.29010,1.96
2013-02-18,4.95,.,0.16,.,.,.,.,.,0.28910,1.96
2013-02-19,4.92,1.74,0.15,1.3387,2.55,2.03,1.91,0.17,0.28910,1.96
2013-02-20,4.92,1.75,0.15,1.3350,2.54,2.02,1.90,0.17,0.28910,1.96
2013-02-21,4.99,1.73,0.16,1.3204,2.53,1.99,1.86,0.16,0.28810,1.97
2013-02-22,4.97,1.70,0.16,1.3166,2.54,1.97,1.84,0.16,0.28810,1.96
2013-02-25,4.97,1.63,0.15,1.3172,2.50,1.88,1.76,0.17,0.28660,1.97
2013-02-26,5.02,1.63,0.14,1.3054,2.50,1.88,1.74,0.15,0.28660,1.98
2013-02-27,4.98,1.64,0.14,1.3104,2.52,1.91,1.80,0.18,0.28710,1.98
2013-02-28,4.98,1.64,0.14,1.3079,2.53,1.89,1.78,0.18,0.28710,1.99
2013-03-01,5.00,1.61,0.14,1.2988,2.53,1.86,1.75,0.17,0.28410,1.99
