,GHCND:USW00094728-PRCP,GHCND:USW00094728-TMAX,GHCND:USW00094728-TMIN,GHCND:USW00093134-PRCP,GHCND:USW00093134-TMAX,GHCND:USW00093134-TMIN,GHCND:USW00014819-PRCP,GHCND:USW00014819-TMAX,GHCND:USW00014819-TMIN,GHCND:USW00012960-PRCP,GHCND:USW00012960-TMAX,GHCND:USW00012960-TMIN,GHCND:USW00003192-PRCP,GHCND:USW00003192-TMAX,GHCND:USW00003192-TMIN
2013-01-01,0.0,4.4,-3.3,0.0,16.1,6.1,0.0,-2.7,-10.5,3.3,19.4,7.8,0.0,12.2,0.6
2013-01-02,0.0,0.6,-5.6,0.0,18.3,4.4,0.0,-1.0,-11.6,0.0,7.8,5.0,0.0,16.1,1.1
2013-01-03,0.0,0.0,-4.4,0.0,21.7,3.9,0.0,-1.0,-7.1,0.0,13.3,3.3,0.0,16.1,3.3
2013-01-04,0.0,2.8,-1.1,0.0,20.0,6.1,0.0,2.8,-9.9,0.0,10.0,6.1,0.0,14.4,2.8
2013-01-05,0.0,5.6,0.0,0.0,19.4,5.0,0.3,3.9,-4.9,21.3,8.3,5.6,0.0,16.1,0.6
2013-01-06,0.0,7.8,1.1,3.0,15.0,7.8,0.0,2.8,-5.5,0.0,15.6,4.4,0.0,18.3,3.9
2013-01-07,0.0,7.2,2.8,0.0,20.6,6.7,0.0,3.9,-6.6,0.0,13.9,2.2,0.0,15.6,3.9
2013-01-08,0.0,8.9,1.7,0.0,22.8,6.1,0.0,5.6,-2.1,7.6,17.8,9.4,0.0,18.9,2.8
2013-01-09,0.0,9.4,3.9,0.0,20.6,7.8,0.0,10.6,-1.6,33.0,19.4,16.1,0.0,22.2,4.4
2013-01-10,0.0,8.3,4.4,0.8,15.0,7.2,13.2,7.8,-3.8,1.8,20.6,11.1,0.0,15.6,5.6
2013-01-11,14.0,7.8,2.8,0.0,13.3,6.7,5.1,12.2,6.7,0.3,22.8,6.7,0.0,10.6,2.2
2013-01-12,0.5,8.3,5.6,0.0,13.9,3.9,2.0,11.7,0.0,2.5,23.9,17.8,0.0,9.4,-2.7
2013-01-13,0.0,10.0,6.1,0.0,14.4,2.8,0.8,0.0,-9.9,6.4,22.2,5.6,0.0,8.3,-2.7
2013-01-14,2.3,13.3,3.3,0.0,14.4,1.1,0.0,-3.2,-11.0,0.8,7.2,4.4,0.0,6.1,-3.8
2013-01-15,3.0,3.3,1.7,0.0,16.1,2.2,0.0,-0.5,-8.8,1.8,5.6,2.8,0.0,9.4,-3.8
2013-01-16,17.5,2.8,0.0,0.0,20.6,3.3,0.0,2.8,-7.7,0.0,11.1,0.0,0.0,15.6,-1.0
2013-01-17,0.0,6.1,1.7,0.0,25.6,5.6,0.0,0.0,-6.0,0.0,17.2,-1.7,0.0,21.7,2.8
2013-01-18,0.0,1.7,-3.9,0.0,26.1,10.0,0.0,5.6,-6.6,0.0,16.7,2.2,0.0,22.8,5.0
2013-01-19,0.0,10.6,-1.1,0.0,26.1,10.0,0.0,8.9,-2.1,0.0,20.0,1.1,0.0,23.3,5.0
2013-01-20,0.0,11.7,-1.1,0.0,27.2,8.9,0.0,-2.1,-9.9,0.0,20.6,6.1,0.0,23.3,5.6
2013-01-21,0.0,0.0,-3.3,0.0,27.2,7.2,0.0,-9.3,-15.5,0.0,21.7,6.1,0.0,25.6,6.1
2013-01-22,0.0,-2.8,-10.6,0.0,27.2,10.6,0.0,-11.0,-17.7,0.0,21.7,6.7,0.0,26.1,7.2
2013-01-23,0.0,-6.7,-11.7,0.5,25.6,12.2,0.0,-6.6,-12.1,0.0,23.9,7.2,0.0,26.7,8.3
2013-01-24,0.0,-5.6,-11.1,20.1,18.9,12.8,0.0,-6.0,-14.3,0.0,26.1,16.1,0.5,17.8,13.3
2013-01-25,1.8,-4.4,-10.6,4.3,19.4,15.0,1.3,-1.6,-7.1,0.0,26.1,16.1,0.3,23.3,11.7
2013-01-26,0.0,-2.8,-9.4,0.5,20.0,12.8,0.0,-1.6,-11.0,0.0,25.6,15.0,37.3,17.2,13.3
2013-01-27,0.0,1.1,-7.2,0.8,16.7,10.6,6.9,3.3,-3.8,0.0,25.0,13.3,3.6,18.3,13.3
2013-01-28,5.6,2.2,-1.7,0.0,16.1,8.9,3.6,10.6,3.3,0.0,27.2,21.1,1.3,13.9,6.7
2013-01-29,1.5,9.4,2.2,0.0,16.1,7.2,25.1,16.1,5.0,2.8,25.0,15.0,0.0,13.3,2.2
2013-01-30,1.0,15.0,3.9,0.0,21.1,7.2,6.6,8.9,-6.0,0.0,16.1,3.9,0.0,15.0,2.2
2013-01-31,22.9,16.1,-1.1,0.0,25.6,8.3,0.0,-6.0,-14.9,0.0,19.4,0.6,0.0,20.0,3.9
2013-02-01,0.0,-0.6,-4.4,0.0,24.4,10.0,0.0,-8.8,-17.1,0.0,21.1,6.1,0.0,21.7,5.6
2013-02-02,0.5,-1.7,-7.2,0.0,23.9,13.3,1.3,-3.8,-12.7,0.0,24.4,7.8,0.0,23.9,6.1
2013-02-03,0.5,-1.1,-4.4,0.0,25.0,13.3,0.0,-4.9,-11.6,0.0,22.2,8.9,0.0,19.4,12.2
2013-02-04,0.0,-1.1,-5.0,0.0,21.1,10.0,1.5,-1.6,-8.2,1.5,22.2,11.7,0.0,22.8,12.8
2013-02-05,0.5,0.0,-2.2,0.0,15.6,12.2,0.0,-0.5,-10.5,0.3,26.1,14.4,0.0,22.8,8.9
2013-02-06,0.0,3.9,-1.7,0.0,17.8,10.0,0.0,2.8,-7.1,9.1,18.3,15.6,0.0,21.7,10.0
2013-02-07,0.0,0.0,-3.3,0.0,16.1,7.2,14.5,2.2,0.0,0.0,22.8,13.9,0.0,21.7,9.4
2013-02-08,29.2,1.1,-2.8,0.5,12.8,6.7,0.0,0.6,-3.8,0.0,21.7,10.0,0.0,18.3,9.4
2013-02-09,9.7,0.0,-6.1,0.0,15.0,3.9,0.0,1.7,-2.7,0.0,20.6,9.4,0.0,12.2,5.0
2013-02-10,0.0,2.2,-7.8,0.0,14.4,6.7,5.6,10.0,1.1,2.8,23.3,14.4,0.0,13.3,3.3
2013-02-11,12.4,7.2,1.1,0.0,17.2,6.1,0.0,7.8,-1.0,1.8,17.2,11.7,0.3,11.1,4.4
2013-02-12,0.0,6.7,2.2,0.0,18.3,5.0,0.0,-1.0,-3.8,1.5,17.8,11.7,0.0,13.3,1.7
2013-02-13,0.8,6.7,0.6,0.0,20.6,5.6,0.0,7.8,-4.3,0.0,16.1,6.1,0.0,17.2,1.7
2013-02-14,0.0,7.8,0.6,0.0,23.9,7.2,0.0,4.4,0.0,0.0,19.4,1.1,0.0,20.0,3.3
2013-02-15,0.0,12.8,2.8,0.0,27.2,8.3,0.0,1.1,-6.0,0.0,20.6,3.9,0.0,23.3,8.3
2013-02-16,0.5,5.0,-0.6,0.0,27.8,11.7,0.0,-5.5,-10.5,0.0,16.1,3.9,0.0,25.6,7.8
2013-02-17,0.0,0.0,-7.8,0.0,21.1,8.3,0.0,-0.5,-12.1,0.0,22.2,2.2,0.0,22.2,7.2
2013-02-18,0.0,1.7,-8.3,0.0,17.8,11.7,6.1,11.7,-1.6,8.4,23.3,12.8,0.0,22.2,6.7
2013-02-19,3.8,9.4,0.6,4.6,13.9,8.3,0.0,0.0,-11.0,0.0,20.6,7.8,0.0,21.1,7.8
2013-02-20,0.0,3.3,-3.9,0.0,16.1,5.0,0.0,-3.2,-12.7,0.8,15.6,10.0,19.1,13.3,2.8
